ID,SAFRA,default,PAY_AMT1_trat,PAY_AMT2_trat,PAY_AMT3_trat,AVG_PAY_trat,PAY_0_trat
4760,200511,0,C1,C2,C0,C1,C0
11646,200601,0,C1,C1,C2,C1,C1
1190,200510,0,C2,C2,C2,C1,C0
20385,200604,1,C0,C1,C1,C0,C2
18572,200604,0,C1,C1,C1,C0,C0
2784,200510,0,C0,C0,C1,C0,C0
7009,200512,0,C1,C1,C1,C0,C0
16367,200603,0,C1,C1,C1,C0,C0
20688,200604,0,C2,C0,C2,C1,C2
12398,200602,0,C2,C0,C2,C2,C1
11436,200601,1,C1,C1,C0,C0,C1
791,200510,0,C1,C0,C1,C0,C1
20768,200604,1,C1,C2,C1,C1,C0
12746,200602,0,C1,C1,C0,C0,C2
12555,200602,0,C1,C1,C1,C0,C0
6195,200512,0,C2,C2,C2,C1,C0
9981,200601,0,C2,C2,C2,C1,C0
16228,200603,0,C0,C1,C1,C0,C1
16249,200603,0,C2,C2,C2,C1,C0
16147,200603,0,C2,C2,C2,C1,C0
17379,200603,0,C1,C2,C0,C1,C0
9308,200601,1,C1,C1,C1,C0,C0
13184,200602,0,C1,C2,C2,C2,C0
14162,200602,1,C0,C0,C1,C0,C0
12775,200602,1,C1,C0,C2,C0,C2
696,200510,0,C0,C0,C0,C0,C0
20609,200604,0,C2,C2,C2,C2,C0
5894,200511,0,C1,C1,C1,C0,C0
1135,200510,0,C1,C1,C0,C0,C1
6873,200512,0,C1,C1,C2,C1,C0
4582,200511,1,C1,C1,C0,C0,C0
12310,200602,1,C1,C1,C1,C0,C0
10073,200601,0,C0,C1,C1,C0,C0
16903,200603,0,C1,C1,C1,C0,C0
16579,200603,1,C0,C2,C1,C0,C1
20481,200604,1,C1,C1,C0,C1,C2
12281,200602,0,C0,C1,C1,C0,C1
17660,200603,0,C1,C0,C0,C0,C1
5784,200511,0,C2,C2,C1,C1,C0
1336,200510,0,C1,C1,C1,C0,C0
15992,200603,0,C2,C0,C1,C1,C0
13910,200602,0,C1,C1,C1,C1,C0
1495,200510,0,C1,C1,C2,C2,C0
3246,200511,0,C1,C1,C1,C0,C2
5943,200511,0,C1,C2,C2,C2,C0
3781,200511,0,C2,C2,C2,C1,C0
1963,200510,0,C1,C1,C2,C1,C0
20018,200604,0,C1,C1,C2,C1,C0
11725,200601,0,C1,C1,C1,C0,C0
18625,200604,0,C1,C1,C1,C0,C0
17287,200603,0,C2,C2,C2,C1,C0
9580,200601,0,C1,C1,C0,C0,C0
19969,200604,0,C2,C2,C2,C2,C0
1718,200510,1,C1,C1,C1,C1,C0
2366,200510,1,C1,C1,C1,C0,C2
10289,200601,0,C2,C1,C2,C1,C0
6732,200512,0,C1,C2,C0,C1,C0
18414,200604,0,C1,C2,C2,C1,C0
4772,200511,0,C2,C2,C2,C1,C0
17395,200603,0,C0,C0,C0,C0,C0
5568,200511,0,C1,C0,C0,C0,C0
20837,200604,0,C1,C1,C2,C1,C0
3778,200511,0,C1,C1,C0,C0,C0
12933,200602,0,C0,C0,C0,C0,C1
8946,200512,0,C1,C1,C1,C0,C0
5112,200511,1,C0,C0,C0,C0,C1
496,200510,0,C1,C1,C1,C0,C0
4056,200511,0,C1,C1,C2,C1,C0
1274,200510,0,C1,C1,C1,C0,C0
17776,200603,1,C1,C0,C2,C1,C2
14369,200602,0,C0,C0,C2,C1,C1
2951,200510,0,C1,C1,C2,C1,C2
5239,200511,0,C2,C2,C2,C1,C0
3403,200511,1,C0,C0,C1,C1,C0
9162,200601,0,C2,C2,C2,C2,C0
11048,200601,0,C0,C1,C1,C0,C1
10723,200601,1,C0,C1,C0,C0,C0
3812,200511,1,C0,C1,C1,C0,C2
2543,200510,0,C2,C1,C1,C1,C0
7291,200512,0,C1,C2,C1,C1,C0
17668,200603,1,C0,C2,C0,C1,C2
17442,200603,1,C0,C1,C1,C0,C1
10825,200601,0,C1,C0,C2,C1,C0
5472,200511,1,C1,C1,C0,C0,C0
8656,200512,0,C0,C2,C1,C0,C1
4222,200511,1,C2,C2,C2,C1,C0
6387,200512,1,C1,C1,C1,C0,C2
14413,200602,0,C1,C1,C2,C1,C1
13383,200602,0,C1,C1,C1,C0,C0
17756,200603,0,C1,C1,C2,C1,C0
12854,200602,0,C0,C2,C0,C1,C0
12886,200602,0,C1,C1,C1,C0,C0
20391,200604,0,C0,C1,C0,C1,C0
737,200510,0,C1,C1,C2,C1,C0
6976,200512,0,C1,C1,C2,C1,C2
3480,200511,0,C2,C2,C2,C2,C0
3429,200511,0,C0,C0,C0,C0,C1
3226,200511,0,C1,C0,C1,C0,C0
8704,200512,0,C2,C2,C2,C2,C0
8183,200512,1,C1,C2,C0,C1,C0
20138,200604,0,C1,C2,C1,C2,C0
7350,200512,1,C1,C1,C1,C0,C2
6772,200512,0,C1,C0,C0,C0,C0
10120,200601,0,C1,C1,C2,C1,C0
1256,200510,0,C0,C1,C1,C0,C1
18159,200604,1,C1,C1,C1,C1,C2
19369,200604,0,C1,C1,C0,C0,C0
9682,200601,0,C2,C2,C1,C2,C0
20629,200604,1,C1,C2,C1,C1,C0
1705,200510,0,C1,C1,C1,C0,C0
20775,200604,1,C0,C0,C1,C1,C2
131,200510,0,C2,C1,C1,C1,C1
2901,200510,0,C1,C1,C1,C1,C0
15806,200603,0,C1,C0,C1,C0,C0
20643,200604,0,C1,C1,C1,C0,C0
10548,200601,1,C1,C1,C1,C0,C2
6471,200512,0,C1,C0,C1,C0,C0
14400,200602,0,C2,C2,C2,C2,C0
3884,200511,0,C2,C1,C1,C1,C0
4712,200511,0,C2,C2,C2,C1,C0
17747,200603,1,C0,C1,C1,C0,C1
11838,200601,1,C0,C0,C0,C0,C2
13814,200602,0,C1,C1,C1,C0,C0
1241,200510,0,C1,C0,C1,C0,C0
19117,200604,0,C1,C2,C2,C1,C0
2293,200510,1,C2,C1,C0,C1,C2
9532,200601,1,C1,C1,C1,C0,C0
18916,200604,0,C1,C1,C1,C0,C1
4987,200511,0,C0,C2,C1,C0,C0
19441,200604,0,C2,C2,C0,C1,C0
19210,200604,0,C0,C0,C0,C0,C0
4375,200511,1,C0,C0,C1,C0,C2
13487,200602,0,C0,C1,C1,C0,C1
7507,200512,1,C0,C0,C0,C0,C0
11348,200601,0,C2,C0,C2,C1,C0
11972,200601,1,C0,C1,C1,C0,C1
17323,200603,0,C2,C0,C2,C1,C0
20379,200604,0,C1,C0,C1,C0,C0
1754,200510,0,C2,C2,C2,C1,C0
19080,200604,0,C1,C2,C1,C1,C0
20900,200604,0,C0,C0,C1,C0,C1
3249,200511,0,C1,C1,C1,C0,C0
18212,200604,0,C1,C1,C2,C1,C0
20234,200604,0,C1,C1,C1,C0,C0
3488,200511,0,C1,C1,C1,C0,C0
13000,200602,1,C1,C1,C1,C1,C0
8470,200512,1,C1,C1,C1,C1,C0
10245,200601,0,C1,C1,C1,C0,C0
3519,200511,0,C1,C1,C1,C0,C0
9929,200601,0,C2,C2,C2,C1,C0
16842,200603,0,C1,C0,C1,C0,C0
5620,200511,0,C1,C1,C1,C0,C0
18851,200604,0,C1,C2,C2,C1,C0
19277,200604,0,C2,C1,C2,C1,C0
6603,200512,0,C1,C1,C1,C0,C0
1307,200510,0,C1,C1,C0,C1,C0
11025,200601,0,C0,C1,C1,C0,C2
5559,200511,1,C0,C0,C0,C0,C0
8403,200512,0,C1,C2,C1,C1,C0
6785,200512,0,C0,C0,C1,C0,C0
7288,200512,0,C1,C2,C1,C1,C0
20831,200604,0,C1,C1,C1,C0,C0
8184,200512,0,C2,C0,C2,C1,C0
1070,200510,0,C1,C1,C1,C0,C0
13785,200602,0,C1,C1,C1,C0,C0
746,200510,0,C1,C1,C1,C1,C0
2046,200510,1,C0,C2,C1,C1,C2
7115,200512,0,C1,C1,C2,C1,C0
17260,200603,0,C2,C0,C0,C0,C0
5921,200511,1,C1,C1,C1,C0,C0
219,200510,0,C1,C2,C2,C1,C0
12163,200602,1,C1,C1,C1,C1,C2
10725,200601,0,C1,C1,C2,C1,C0
20027,200604,1,C1,C1,C1,C0,C0
12474,200602,0,C2,C2,C2,C1,C0
11815,200601,0,C1,C2,C1,C1,C0
2444,200510,0,C0,C1,C1,C0,C1
1368,200510,1,C1,C1,C1,C0,C0
15353,200603,0,C0,C0,C0,C0,C1
4396,200511,0,C0,C1,C1,C0,C0
2474,200510,0,C1,C1,C1,C0,C0
5686,200511,0,C2,C2,C2,C2,C0
7144,200512,1,C1,C1,C2,C0,C0
16280,200603,0,C1,C1,C2,C1,C0
12744,200602,0,C2,C2,C2,C2,C0
307,200510,0,C2,C0,C2,C1,C0
20960,200604,0,C2,C2,C2,C1,C0
4526,200511,0,C1,C2,C1,C0,C0
15698,200603,0,C1,C1,C1,C0,C0
14741,200602,0,C0,C0,C0,C0,C1
2504,200510,1,C1,C1,C1,C0,C0
11881,200601,0,C2,C2,C2,C2,C0
11235,200601,1,C0,C0,C0,C0,C1
19901,200604,0,C1,C1,C0,C0,C0
12709,200602,0,C1,C1,C2,C1,C0
13034,200602,0,C2,C0,C2,C1,C0
16109,200603,0,C1,C1,C1,C0,C0
2859,200510,1,C1,C2,C2,C1,C0
11176,200601,0,C1,C1,C2,C2,C0
6819,200512,0,C1,C1,C2,C2,C0
5764,200511,0,C1,C1,C1,C0,C0
9322,200601,0,C2,C2,C2,C2,C0
17090,200603,0,C1,C1,C2,C1,C1
17403,200603,1,C0,C1,C0,C0,C1
16835,200603,1,C1,C0,C1,C0,C2
7453,200512,1,C0,C0,C0,C0,C0
17333,200603,0,C1,C1,C1,C0,C0
346,200510,0,C0,C0,C2,C1,C0
10891,200601,1,C0,C1,C1,C0,C1
13131,200602,0,C2,C1,C2,C1,C0
16265,200603,1,C2,C0,C1,C0,C1
13717,200602,0,C0,C1,C2,C1,C1
2428,200510,1,C1,C0,C1,C0,C1
210,200510,0,C1,C1,C1,C0,C0
18822,200604,1,C2,C2,C2,C1,C2
7841,200512,0,C1,C1,C1,C2,C0
14432,200602,0,C2,C1,C2,C1,C0
15826,200603,0,C1,C1,C1,C0,C0
12995,200602,0,C2,C1,C1,C2,C0
2374,200510,0,C1,C1,C1,C0,C0
5934,200511,0,C1,C1,C2,C1,C0
2008,200510,0,C1,C2,C1,C1,C0
18093,200604,1,C1,C1,C1,C1,C2
5227,200511,0,C0,C0,C0,C0,C0
3661,200511,0,C1,C2,C1,C1,C0
13267,200602,1,C1,C2,C2,C1,C0
11531,200601,0,C1,C1,C1,C1,C0
7176,200512,0,C1,C1,C2,C1,C0
14647,200602,0,C1,C0,C1,C0,C2
18964,200604,1,C1,C1,C0,C0,C0
17077,200603,1,C1,C1,C2,C1,C2
18662,200604,0,C1,C1,C1,C0,C0
11739,200601,1,C1,C1,C2,C1,C2
9796,200601,1,C2,C1,C1,C1,C0
2201,200510,1,C1,C1,C1,C1,C2
1737,200510,1,C1,C1,C1,C1,C2
20862,200604,0,C1,C1,C1,C0,C1
5463,200511,0,C2,C2,C2,C1,C0
1860,200510,0,C1,C1,C1,C0,C0
18289,200604,0,C2,C1,C1,C1,C0
4694,200511,1,C1,C1,C1,C0,C0
3522,200511,0,C2,C2,C2,C2,C0
8471,200512,1,C0,C1,C1,C0,C2
12703,200602,0,C1,C1,C1,C0,C0
19939,200604,0,C1,C1,C1,C0,C0
10969,200601,1,C0,C1,C1,C0,C2
46,200510,1,C0,C0,C0,C0,C0
2890,200510,0,C1,C1,C1,C0,C0
1744,200510,0,C1,C2,C1,C1,C0
11146,200601,0,C2,C2,C2,C1,C0
17099,200603,0,C2,C2,C2,C1,C0
14297,200602,0,C2,C2,C0,C2,C0
14251,200602,0,C2,C2,C2,C2,C1
18691,200604,0,C1,C0,C1,C0,C1
18580,200604,0,C0,C1,C1,C0,C1
2007,200510,0,C1,C1,C1,C0,C0
5754,200511,1,C0,C0,C0,C0,C0
8949,200512,1,C1,C1,C1,C0,C0
14158,200602,0,C1,C1,C1,C0,C0
19971,200604,0,C1,C0,C0,C0,C2
6625,200512,0,C1,C2,C2,C2,C0
4134,200511,1,C2,C2,C2,C1,C0
16689,200603,1,C0,C0,C0,C0,C0
2408,200510,1,C0,C1,C2,C1,C2
11498,200601,1,C2,C2,C2,C2,C1
8203,200512,0,C2,C1,C2,C1,C2
12102,200602,0,C0,C0,C1,C0,C1
9044,200601,1,C0,C0,C2,C0,C1
16611,200603,0,C1,C2,C0,C1,C2
3897,200511,0,C1,C1,C1,C0,C0
18018,200604,0,C1,C1,C1,C0,C0
7425,200512,0,C0,C0,C0,C1,C0
7598,200512,1,C1,C1,C2,C1,C0
7783,200512,1,C1,C1,C2,C1,C0
12412,200602,0,C0,C0,C0,C0,C0
8708,200512,1,C1,C1,C1,C0,C2
19662,200604,0,C0,C1,C0,C0,C0
1131,200510,1,C2,C2,C2,C1,C0
12232,200602,0,C0,C1,C0,C0,C0
277,200510,1,C1,C0,C1,C1,C2
8364,200512,0,C1,C0,C2,C2,C0
19287,200604,0,C2,C2,C2,C1,C0
4340,200511,0,C1,C2,C0,C0,C0
6051,200512,0,C1,C1,C2,C1,C0
20412,200604,0,C1,C1,C1,C0,C0
8350,200512,0,C1,C1,C2,C1,C0
13391,200602,1,C1,C0,C1,C0,C2
1538,200510,0,C1,C1,C1,C0,C2
13162,200602,0,C2,C1,C2,C1,C0
19726,200604,0,C1,C2,C2,C1,C0
4923,200511,0,C1,C1,C1,C0,C0
17302,200603,0,C1,C1,C1,C0,C0
18136,200604,1,C0,C0,C0,C0,C2
13796,200602,0,C1,C1,C1,C1,C0
19938,200604,1,C0,C1,C1,C0,C1
8175,200512,1,C0,C1,C1,C0,C2
8675,200512,0,C0,C0,C2,C1,C1
15253,200603,1,C0,C0,C0,C0,C0
3128,200511,0,C2,C2,C2,C1,C0
9357,200601,1,C0,C1,C1,C0,C0
19174,200604,0,C1,C0,C1,C0,C0
8469,200512,1,C0,C1,C0,C0,C2
11891,200601,0,C0,C0,C0,C0,C0
962,200510,0,C1,C1,C1,C0,C0
14938,200602,0,C1,C1,C2,C1,C2
13433,200602,1,C1,C0,C1,C0,C0
13972,200602,0,C2,C1,C1,C1,C0
18119,200604,0,C2,C2,C2,C2,C0
20056,200604,0,C0,C0,C0,C0,C0
1559,200510,1,C1,C1,C1,C0,C1
1960,200510,0,C1,C1,C1,C0,C0
1604,200510,0,C0,C1,C1,C0,C0
18617,200604,0,C1,C2,C2,C1,C0
10222,200601,0,C1,C1,C1,C0,C0
20328,200604,0,C2,C2,C2,C1,C0
10499,200601,0,C1,C1,C1,C0,C0
12983,200602,0,C1,C0,C2,C1,C1
15670,200603,0,C0,C1,C0,C0,C0
11817,200601,0,C2,C1,C1,C1,C0
14922,200602,0,C1,C1,C2,C1,C0
9660,200601,0,C0,C2,C2,C1,C1
12856,200602,0,C2,C2,C2,C2,C0
20455,200604,0,C2,C2,C2,C2,C0
7717,200512,0,C2,C2,C2,C1,C0
16463,200603,0,C2,C2,C2,C2,C0
6661,200512,0,C1,C1,C1,C0,C0
16538,200603,0,C1,C1,C1,C0,C0
20780,200604,0,C2,C2,C0,C0,C0
16922,200603,0,C2,C2,C2,C1,C0
2737,200510,0,C1,C1,C1,C0,C0
5219,200511,1,C1,C1,C1,C0,C2
14151,200602,1,C0,C1,C1,C0,C1
2970,200510,0,C2,C2,C2,C1,C0
2884,200510,0,C1,C2,C2,C2,C0
3607,200511,0,C1,C1,C1,C1,C0
8867,200512,0,C1,C1,C1,C0,C0
231,200510,0,C1,C1,C1,C0,C0
17840,200603,0,C2,C2,C1,C1,C0
5399,200511,1,C1,C0,C1,C0,C1
2384,200510,0,C1,C1,C1,C1,C0
18670,200604,0,C2,C2,C2,C2,C0
20443,200604,0,C2,C2,C2,C1,C0
7789,200512,1,C0,C0,C0,C0,C2
8255,200512,0,C2,C1,C1,C1,C0
15519,200603,0,C2,C2,C2,C1,C0
6337,200512,0,C0,C2,C1,C2,C0
3657,200511,0,C2,C1,C2,C1,C2
13612,200602,0,C2,C2,C2,C1,C0
11177,200601,0,C1,C1,C2,C1,C0
14100,200602,0,C2,C1,C1,C1,C0
17269,200603,0,C1,C1,C1,C0,C1
13128,200602,1,C1,C1,C0,C0,C1
13002,200602,0,C1,C1,C1,C0,C0
7444,200512,1,C2,C1,C2,C1,C2
16097,200603,0,C2,C0,C0,C2,C1
4717,200511,0,C1,C1,C1,C0,C0
16990,200603,0,C1,C2,C1,C2,C0
11633,200601,0,C2,C1,C2,C1,C0
6665,200512,0,C2,C0,C0,C1,C0
12936,200602,1,C2,C2,C2,C1,C2
13579,200602,1,C0,C0,C1,C0,C1
17009,200603,0,C1,C1,C0,C0,C2
18063,200604,1,C0,C2,C1,C0,C2
6367,200512,1,C1,C0,C0,C0,C1
15615,200603,0,C1,C1,C1,C1,C2
10033,200601,1,C1,C1,C1,C1,C0
2302,200510,1,C2,C2,C1,C1,C0
10909,200601,0,C2,C0,C0,C1,C0
16643,200603,0,C0,C1,C0,C0,C1
3553,200511,0,C1,C1,C1,C1,C2
4236,200511,1,C2,C2,C2,C1,C0
1568,200510,0,C1,C1,C2,C1,C0
19623,200604,1,C2,C2,C2,C2,C0
7130,200512,0,C2,C2,C2,C1,C0
10361,200601,1,C1,C1,C2,C1,C2
7082,200512,1,C2,C2,C2,C2,C0
16469,200603,0,C1,C1,C1,C0,C0
10318,200601,0,C1,C1,C1,C1,C0
16970,200603,1,C1,C1,C2,C1,C0
3985,200511,0,C2,C2,C2,C1,C0
20102,200604,0,C0,C0,C1,C0,C0
7376,200512,0,C1,C2,C0,C1,C2
2321,200510,0,C1,C2,C1,C1,C0
17413,200603,0,C1,C1,C1,C1,C0
12237,200602,1,C1,C1,C1,C1,C2
11914,200601,1,C1,C1,C1,C0,C0
12894,200602,0,C2,C2,C2,C1,C0
11985,200601,1,C1,C1,C1,C1,C0
20488,200604,0,C1,C1,C2,C1,C0
1593,200510,0,C2,C1,C2,C1,C0
2788,200510,1,C0,C1,C1,C0,C0
1013,200510,0,C2,C2,C2,C2,C0
17515,200603,0,C2,C2,C2,C1,C0
17595,200603,0,C1,C1,C2,C1,C0
16079,200603,1,C0,C0,C0,C0,C0
2055,200510,0,C1,C1,C1,C0,C0
11222,200601,0,C1,C1,C1,C0,C0
15015,200603,0,C2,C2,C2,C2,C0
16902,200603,0,C2,C2,C2,C1,C0
14718,200602,0,C1,C1,C0,C0,C2
6966,200512,0,C1,C1,C1,C0,C0
16895,200603,1,C2,C2,C2,C1,C0
18046,200604,0,C1,C1,C1,C0,C0
7826,200512,0,C0,C1,C1,C1,C1
6056,200512,1,C0,C0,C0,C0,C2
4850,200511,0,C0,C0,C0,C0,C0
7871,200512,0,C0,C0,C0,C0,C0
14993,200602,0,C1,C0,C1,C0,C0
6879,200512,0,C1,C1,C1,C0,C0
6497,200512,0,C1,C1,C1,C0,C0
12146,200602,0,C0,C1,C1,C0,C0
2570,200510,0,C1,C1,C0,C2,C0
5004,200511,0,C1,C2,C1,C1,C0
13520,200602,0,C1,C1,C2,C1,C0
6525,200512,0,C1,C1,C1,C0,C0
10297,200601,0,C1,C1,C1,C0,C0
3525,200511,0,C1,C1,C1,C0,C0
12720,200602,0,C2,C2,C1,C1,C0
2978,200510,0,C1,C1,C1,C1,C0
8247,200512,1,C1,C2,C2,C1,C0
17851,200603,0,C1,C1,C1,C0,C0
10916,200601,0,C1,C1,C2,C1,C0
10657,200601,0,C1,C0,C0,C0,C0
9052,200601,1,C1,C1,C1,C0,C0
10439,200601,0,C0,C0,C0,C0,C0
11533,200601,0,C1,C1,C2,C1,C0
3424,200511,1,C1,C1,C1,C0,C0
18139,200604,1,C2,C2,C2,C1,C0
13169,200602,0,C2,C2,C2,C1,C0
2182,200510,0,C1,C1,C1,C0,C0
12160,200602,1,C0,C0,C0,C0,C1
13538,200602,0,C2,C2,C1,C1,C0
19054,200604,1,C1,C1,C1,C0,C0
666,200510,0,C2,C1,C2,C1,C0
11092,200601,0,C1,C1,C2,C1,C0
18036,200604,1,C1,C1,C1,C1,C2
10493,200601,0,C2,C1,C0,C0,C0
13990,200602,0,C2,C2,C2,C2,C0
5521,200511,0,C1,C1,C1,C0,C0
4902,200511,0,C1,C1,C1,C0,C0
19165,200604,0,C1,C1,C1,C1,C0
10594,200601,0,C1,C1,C0,C0,C0
1660,200510,0,C1,C1,C0,C0,C0
3567,200511,0,C2,C2,C2,C2,C0
17074,200603,0,C0,C0,C0,C0,C0
17452,200603,1,C1,C1,C2,C2,C0
5533,200511,0,C2,C2,C2,C1,C0
17561,200603,1,C1,C1,C1,C0,C0
16870,200603,1,C0,C1,C0,C0,C1
18038,200604,0,C1,C1,C1,C0,C0
19360,200604,0,C1,C1,C1,C0,C0
5184,200511,0,C1,C1,C2,C1,C0
10836,200601,0,C0,C2,C2,C1,C1
14726,200602,0,C1,C1,C1,C0,C0
6349,200512,1,C1,C1,C1,C1,C2
16712,200603,1,C1,C1,C0,C0,C0
1491,200510,0,C1,C1,C1,C1,C0
16853,200603,0,C1,C1,C2,C1,C0
11108,200601,0,C2,C2,C0,C2,C0
4423,200511,0,C1,C1,C1,C1,C0
3877,200511,0,C1,C1,C2,C1,C0
3390,200511,0,C0,C2,C2,C1,C2
1899,200510,0,C1,C2,C2,C1,C0
14321,200602,0,C1,C1,C1,C0,C0
19635,200604,0,C2,C2,C2,C2,C0
18585,200604,0,C1,C1,C1,C0,C0
16252,200603,0,C2,C0,C0,C1,C0
2908,200510,1,C2,C1,C2,C1,C0
14113,200602,0,C2,C1,C2,C2,C0
11675,200601,0,C2,C2,C1,C2,C0
11486,200601,0,C1,C1,C1,C1,C2
11674,200601,0,C1,C1,C1,C0,C0
16768,200603,1,C0,C1,C1,C0,C1
20480,200604,0,C1,C1,C1,C0,C0
5409,200511,0,C1,C1,C1,C0,C0
19881,200604,1,C1,C1,C1,C0,C0
16227,200603,1,C1,C0,C2,C1,C2
6586,200512,0,C2,C1,C0,C2,C2
14425,200602,0,C2,C2,C2,C1,C0
4353,200511,0,C2,C1,C2,C1,C0
484,200510,0,C1,C1,C1,C1,C1
8194,200512,0,C2,C2,C2,C2,C0
2048,200510,0,C2,C2,C0,C1,C0
19667,200604,0,C1,C2,C2,C1,C0
12587,200602,0,C1,C1,C1,C0,C0
2298,200510,1,C0,C0,C0,C0,C0
3161,200511,0,C2,C2,C2,C1,C0
13449,200602,0,C0,C1,C1,C0,C0
19644,200604,0,C2,C2,C2,C2,C0
15406,200603,0,C0,C0,C0,C0,C0
17348,200603,0,C2,C2,C2,C1,C0
1490,200510,1,C1,C0,C1,C0,C0
6700,200512,0,C0,C1,C0,C0,C1
2707,200510,1,C2,C0,C1,C1,C2
7847,200512,1,C0,C1,C0,C0,C1
15339,200603,0,C2,C1,C2,C1,C0
7647,200512,0,C0,C2,C0,C2,C1
17025,200603,0,C1,C1,C1,C0,C0
7022,200512,0,C2,C2,C2,C2,C0
11016,200601,0,C1,C1,C1,C0,C0
13063,200602,0,C1,C1,C1,C0,C0
15309,200603,0,C0,C1,C1,C0,C1
1403,200510,1,C1,C1,C1,C0,C0
186,200510,1,C0,C1,C1,C0,C1
8980,200512,0,C1,C2,C2,C2,C0
