,y
10296,0
3524,0
12719,0
2977,0
8246,1
17850,0
10915,0
10656,0
9051,1
10438,0
11532,0
3423,1
18138,1
13168,0
2181,0
12159,1
13537,0
19053,1
665,0
11091,0
18035,1
10492,0
13989,0
5520,0
4901,0
19164,0
10593,0
1659,0
3566,0
17073,0
17451,1
5532,0
17560,1
16869,1
18037,0
19359,0
5183,0
10835,0
14725,0
6348,1
16711,1
1490,0
16852,0
11107,0
4422,0
3876,0
3389,0
1898,0
14320,0
19634,0
18584,0
16251,0
2907,1
14112,0
11674,0
11485,0
11673,0
16767,1
20479,0
5408,0
19880,1
16226,1
6585,0
14424,0
4352,0
483,0
8193,0
2047,0
19666,0
12586,0
2297,1
3160,0
13448,0
19643,0
15405,0
17347,0
1489,1
6699,0
2706,1
7846,1
15338,0
7646,0
17024,0
7021,0
11015,0
13062,0
15308,0
1402,1
185,1
8979,0
14371,0
16005,0
19104,1
955,0
6645,1
16256,0
2462,1
17129,1
14184,0
2739,0
8906,0
6900,0
13387,1
9945,0
12792,0
5372,0
13653,0
12949,0
16432,1
4363,0
1454,0
14114,0
6066,0
19014,0
15171,0
2508,0
18425,0
2985,0
7372,0
12503,1
19248,1
1864,0
8794,1
6315,1
4070,0
2207,1
2752,1
9695,0
9785,1
4253,0
1975,0
19567,0
2415,0
17372,0
5665,1
12289,0
6812,0
7489,0
2638,0
8275,0
8610,0
598,0
5573,0
5045,0
1453,0
18795,1
15168,0
18792,0
7669,0
6540,1
19186,0
19738,0
2086,1
19827,0
9065,0
8133,0
13217,0
5733,0
2698,0
1599,1
12687,0
4532,0
16418,0
20404,0
8462,0
9346,1
4678,0
11823,0
5495,0
1957,0
4116,1
1408,1
1750,0
2274,0
4481,0
8351,0
2798,0
15751,1
1161,0
16939,0
17502,0
15997,0
15077,0
3363,1
10393,0
4268,0
14404,0
8767,0
3357,1
6505,1
20394,0
11538,0
15043,0
11708,0
14939,0
4577,0
16304,1
17712,1
10856,0
11202,0
19627,0
956,0
3332,1
9366,0
12582,0
15089,0
15964,1
11584,0
19007,0
7891,0
15661,0
10538,0
11288,0
2036,0
11839,0
5719,0
800,0
14213,0
14269,0
20811,0
14532,0
452,0
13261,0
14637,1
20224,0
4503,0
17682,0
4165,1
2765,0
10153,0
9696,1
13587,0
8644,0
14730,0
18199,0
5061,0
18238,0
2961,0
10027,0
8586,0
16495,1
20744,1
16214,0
249,0
12103,0
6069,0
10549,1
20986,1
17698,0
7805,0
1596,0
13733,0
11440,1
9533,1
5744,0
16517,1
12814,0
5939,0
9422,0
17274,1
15157,0
1583,0
8119,0
1268,1
1112,0
11353,0
4139,0
715,0
12349,0
14402,1
7465,1
8527,0
6438,0
14254,0
905,0
12199,0
8598,1
10207,0
19932,0
6026,0
5688,0
14911,0
739,1
5638,0
6681,0
411,0
16139,0
7881,0
17111,0
19131,0
4931,1
1715,0
9365,0
9323,1
18461,0
8648,0
15531,1
16090,0
3551,0
7764,0
16184,1
1824,0
12252,0
1399,0
19042,1
8314,0
11054,0
2078,0
4417,0
12675,0
1179,0
8989,0
16620,0
5489,0
4984,0
12090,0
511,1
6651,0
10754,0
6036,0
15603,0
16723,0
11753,0
8803,0
8568,0
15368,1
2796,0
20063,0
17352,0
2861,1
6187,0
15588,0
10435,0
7858,0
7336,0
17998,0
114,0
3272,0
17170,0
17556,0
12036,0
3808,0
6669,0
11892,0
3055,0
7011,0
16678,0
5269,0
12187,0
136,0
16274,0
381,1
5162,0
12271,0
13026,0
20061,0
10999,0
2096,1
17003,0
15934,0
4149,0
19448,0
14712,0
20605,1
17459,0
6887,0
9792,0
6089,0
12600,0
2939,0
18216,1
6793,0
7816,0
16543,1
5802,0
17825,1
5768,0
13129,0
10732,1
2188,0
6298,0
18848,0
1604,0
12034,0
19156,0
12267,0
15926,0
9557,0
221,0
13718,0
11319,1
19602,0
16406,1
17284,1
11871,0
2376,0
8101,0
17598,1
4719,0
20742,1
2717,0
17299,0
10994,1
4012,0
3297,0
8080,0
19304,0
19510,1
1302,0
5219,1
13267,0
1292,0
10575,1
9112,0
8168,0
14456,0
4653,0
6564,0
10596,1
20981,1
841,0
7188,0
16189,0
2879,0
17505,0
14879,0
10210,0
18604,0
13736,0
15173,0
17018,0
2003,1
1021,0
1026,0
10271,0
19787,0
9195,1
1311,0
11910,0
16174,1
5866,0
14745,0
12528,0
1394,0
7799,0
5081,0
9853,0
12709,0
11117,0
4566,0
11939,0
8930,0
12196,1
5278,0
16122,0
19233,1
14690,1
8595,0
9459,0
17988,1
15004,0
5187,0
19974,0
20967,1
13066,0
11381,1
18688,1
5698,0
8577,0
8636,0
16477,1
16151,0
10949,1
3793,0
16936,0
20534,0
10916,0
3474,0
19457,0
13530,0
7550,0
9503,0
19132,0
7641,0
16469,1
4787,0
20780,0
13349,0
16895,1
16016,0
4643,0
14040,0
6132,1
11859,0
13132,0
11686,0
4171,0
20188,0
4214,0
6674,0
20845,0
10325,1
20202,0
12496,0
5241,0
656,0
14541,1
14814,0
8297,0
15283,0
1851,0
6124,0
13928,0
19100,1
6637,0
1545,1
14512,0
12323,0
15041,0
20874,0
15774,1
1146,1
3203,0
2121,0
9442,0
5440,0
16276,1
17386,1
7312,0
20559,1
9099,0
11343,1
14249,0
14118,0
15913,1
13159,1
14420,0
17275,0
20382,0
6898,0
5132,0
11591,0
9235,0
14288,1
7975,0
13021,1
13860,0
2687,0
523,1
4695,0
18302,0
926,0
9437,1
6039,0
10500,0
4534,0
10684,1
5100,0
15829,0
18829,0
8198,0
15280,0
764,0
11182,0
7554,0
17805,0
5450,0
3960,0
18971,0
1356,0
6572,0
19410,0
18482,0
15792,1
38,1
9176,0
17177,0
5792,0
4074,0
372,0
17020,1
20419,0
15152,0
17630,0
14481,0
20022,0
6902,0
16777,0
9845,0
20982,0
3709,1
3448,0
8761,0
2986,0
7309,0
6974,0
12276,0
14875,0
6630,0
13475,0
13744,1
16053,0
8035,0
10911,0
15379,0
14897,1
3920,1
3460,0
4296,0
1260,0
20331,0
5099,1
9642,0
5345,0
2522,0
16750,0
2350,0
14104,0
18487,0
12785,0
1462,0
12790,0
8289,0
510,0
8401,0
4915,0
19631,0
19581,0
18931,0
628,0
8585,0
8962,0
20802,1
16999,0
14138,0
11467,1
2243,1
5592,0
12666,0
9222,1
10703,0
8810,1
18144,0
11180,0
17767,0
9320,0
611,1
8571,0
17053,1
13803,1
19287,0
11160,0
4575,0
8457,0
3706,0
18552,1
8524,0
9748,0
17734,0
4000,0
8941,0
342,0
9942,0
14849,0
3633,1
7436,1
12102,0
4168,1
8326,0
15000,1
16427,0
6626,0
2312,0
19657,0
8,0
16040,0
14299,0
13227,0
17544,1
7671,0
8696,0
10101,0
4688,1
1615,1
2594,0
6160,1
3847,0
13103,0
117,1
1954,0
19058,0
14739,0
10263,0
3650,0
15332,0
10830,1
18572,0
18855,0
21,1
9186,0
9254,0
6594,0
20395,0
9483,1
12570,0
8476,0
7571,0
11670,0
11784,0
8306,0
8142,1
4137,0
9867,0
20876,0
10923,1
13315,1
13703,0
18178,0
9074,0
6207,0
1172,0
8603,0
4054,0
9546,0
1754,0
16889,1
1196,0
19194,0
2371,0
19710,0
3410,1
13498,1
4665,0
8756,0
18778,0
3489,0
12002,1
18870,0
17138,1
13648,0
7722,0
2348,0
4691,0
3090,0
4791,1
18761,0
17515,0
18807,0
3855,0
9146,1
8157,0
15967,1
11112,0
10514,0
14913,1
8377,1
15914,1
16365,0
4237,0
4929,0
11840,0
3733,0
13380,1
7515,1
4881,0
8922,0
16659,0
4634,0
8894,0
20193,0
15998,1
1544,1
13634,1
12650,0
16664,0
14795,0
16217,0
11517,0
16953,0
10612,0
9519,0
7962,0
8192,0
1571,0
7889,0
3411,0
19756,0
14782,0
17106,1
14364,0
9951,1
5752,0
14408,0
11625,1
8185,1
17770,0
1519,0
4242,0
15339,1
3480,0
18851,1
8396,0
16287,0
10476,1
17266,0
14262,0
11366,0
9227,1
3347,0
13769,0
19807,0
13876,0
6071,0
7173,0
20650,0
11790,0
18640,0
2581,0
1773,1
4209,0
13365,0
506,0
18382,1
20965,0
13187,0
14458,0
18,0
3585,0
5358,0
2153,0
8117,1
18005,1
18184,0
3283,0
7105,0
10162,0
16878,0
10020,0
15945,0
2088,0
16306,0
11818,0
20795,0
4215,0
14506,0
182,0
9582,1
9277,0
261,0
5536,0
2058,0
11057,0
19721,0
4948,0
6229,1
19374,0
7498,0
1289,0
20916,0
13136,0
13632,0
18620,0
2411,0
11026,1
20396,0
2151,0
18112,0
8799,0
11613,0
4772,0
7663,0
7556,0
4874,0
2845,0
19812,0
4115,0
11299,1
10748,1
19069,1
12494,1
20711,0
19983,0
10098,1
9543,1
11473,1
10126,0
5133,0
2004,0
11891,0
3898,1
12078,0
15158,0
12806,0
9829,0
14653,0
20125,0
3425,0
1918,0
4300,1
10203,0
638,0
10211,1
18926,0
17062,0
3769,0
1984,0
9588,0
18633,0
20432,0
7331,1
16000,1
6746,0
17487,0
12825,0
3826,0
15264,1
6356,0
243,0
5835,1
1794,1
1103,0
10853,1
15676,0
16970,1
2998,1
4536,0
333,0
5380,0
5379,0
17864,0
4548,0
10460,0
11416,0
7558,0
17114,0
19946,0
10645,1
3465,0
11833,0
17887,0
5434,1
4705,0
3768,0
3319,0
15139,1
15744,1
10777,0
14264,0
8205,0
13251,0
9463,0
19254,1
16330,1
19094,0
4350,1
10972,0
12001,0
2298,0
4403,0
18951,1
2931,0
4191,1
16486,0
18609,1
7214,0
11542,0
2701,0
18636,0
17107,0
9037,0
11793,1
17122,0
3882,0
10698,1
15810,1
20054,0
10457,0
13974,0
5276,0
7510,0
550,1
9523,0
13361,0
192,0
16171,0
9111,0
7651,0
18081,0
9182,0
6978,0
17763,0
15762,1
691,0
15903,1
9763,0
15364,0
9952,1
15253,0
7899,0
6079,0
16310,0
18681,1
12147,0
8204,0
12296,1
12764,0
10159,0
15633,0
3045,0
8267,0
9653,0
10721,0
7340,0
10099,1
18781,0
17178,0
14571,0
16675,0
9170,1
11936,0
19385,0
11443,0
577,0
19062,0
14704,0
19275,0
5105,0
7393,0
4039,0
10501,0
9389,0
18997,0
5053,0
14113,1
12646,0
12430,1
14470,1
15626,0
8831,1
5059,0
17379,0
12589,0
9118,1
10810,0
18513,1
13031,0
5215,0
20586,0
7265,1
12350,0
14434,1
13697,0
4163,0
8813,0
15372,0
15841,0
13925,1
2805,0
5017,0
5427,0
9652,0
7419,0
12398,0
10842,1
8429,0
1357,1
17384,1
5330,0
13042,0
14663,0
13259,1
18052,0
2199,1
2038,0
5862,0
19184,0
1593,0
13600,0
16179,1
17119,0
17780,0
19253,0
20126,0
10305,0
19863,1
8151,0
5101,1
20297,0
10177,0
1979,1
18477,0
11144,0
9407,0
13138,0
7462,0
13774,0
5677,0
19380,0
8873,0
20911,1
5198,0
3105,0
5670,0
10546,1
13669,0
16843,0
5937,0
10562,0
17289,1
16275,0
10236,0
3236,0
5414,0
14636,0
16598,1
165,0
6165,0
15103,0
5861,0
18917,1
7009,0
3269,0
15797,0
18935,0
561,0
5821,0
5010,0
4661,0
2050,0
16585,0
5938,0
397,0
12969,0
6992,0
8776,0
8184,0
11426,0
14864,1
4794,0
3858,0
4239,1
7662,1
1154,0
2235,0
6152,0
19476,0
13663,1
18588,0
18658,0
16164,0
8859,1
13160,0
15544,1
328,0
20280,0
892,0
9626,0
8223,0
6653,1
14448,0
16321,0
1074,0
4201,0
13846,0
17209,0
13472,0
743,0
3754,0
10812,0
19105,1
1917,0
17375,0
5991,0
7837,0
3080,0
16386,1
1392,0
6316,0
1691,0
299,1
4031,0
424,0
14117,0
20906,1
16077,0
17418,0
2518,0
11999,1
9574,0
148,0
19525,0
16765,0
5395,0
4763,0
15047,0
14977,0
9194,1
10673,0
10726,0
6804,0
6870,0
964,0
7426,0
15871,0
13483,0
5950,0
20639,1
14174,1
9097,0
13447,0
11944,0
17521,0
19133,0
14817,0
4962,0
9143,0
14957,0
10439,1
19247,0
14440,0
13240,0
2275,0
7153,0
12631,0
10384,0
1900,0
19569,1
17096,0
13875,1
17941,0
11187,0
939,0
16780,1
1698,0
5800,1
4541,0
8301,0
12176,1
20422,0
13835,0
17354,0
3485,1
19866,0
16587,0
14733,1
4158,0
5469,0
5603,0
12326,0
2835,1
9505,0
8155,0
6726,1
12721,0
8842,0
3023,1
20492,1
1066,0
12434,0
8893,0
2837,0
1479,0
14468,0
15198,0
15414,1
11888,0
11334,1
319,0
20898,0
14185,0
14376,0
17403,0
5834,0
1651,0
14036,1
2929,0
7416,0
5396,0
6254,0
12443,0
6419,0
12972,1
5729,0
9715,0
11956,0
225,0
2135,0
10071,0
11194,0
7450,1
4019,1
3464,0
5907,0
17381,0
4509,0
16241,0
2236,0
16602,1
15480,1
8443,0
9990,0
11318,0
10051,0
19125,0
2814,0
13765,0
10016,0
13346,1
5956,0
3602,0
2101,0
1417,0
11852,0
11916,0
17308,0
294,0
9070,0
10002,0
11811,0
16266,0
13425,0
16451,1
5128,0
1644,1
4393,0
1933,0
5535,0
15465,0
8608,0
20296,0
16647,0
13322,1
2217,1
20615,0
8972,1
13195,1
8362,1
20749,0
4685,0
5898,0
13336,0
9029,0
1932,0
12737,0
5540,0
2306,0
17645,0
14086,0
8428,0
4989,0
4009,0
20581,0
2062,0
9192,1
17873,0
1471,1
17931,1
769,0
5409,0
941,0
1481,0
8542,1
10620,0
5058,0
11726,0
2111,1
5578,0
9217,1
1316,0
7590,0
7482,0
6293,0
12197,1
16574,0
32,0
4670,1
8660,0
13735,1
11819,0
7659,0
10287,1
3335,1
2784,1
6210,0
18577,0
1426,0
12963,1
11742,0
14380,0
5340,0
11315,0
14971,1
896,1
2534,0
3128,0
12013,0
6277,1
20435,0
20092,0
14978,1
14298,0
5769,0
8895,0
6776,0
1936,1
3802,0
6179,0
19975,0
17834,0
10025,1
19311,0
18697,0
4571,0
8998,1
18987,0
7481,0
11192,0
3884,1
19846,0
6702,1
11767,1
8059,0
16746,0
4528,0
1493,0
16201,0
20179,0
685,0
2536,1
592,0
10965,0
9279,1
11340,1
20446,1
13694,0
19309,0
13360,0
5444,1
15448,0
18788,0
6990,0
17673,0
5336,0
15221,0
12891,0
11193,0
312,0
11292,1
9169,0
19283,1
8380,0
4819,0
18323,0
19022,0
9151,1
7508,0
16728,0
9707,1
9090,0
121,1
19753,0
19151,0
5678,0
9145,0
18434,0
19158,0
19461,0
4105,0
7971,0
4460,0
11817,0
17550,1
18000,1
18083,0
9331,0
2085,0
2827,0
14026,0
17855,0
13523,0
8609,0
20222,0
6192,0
6425,0
17846,1
1257,0
17665,0
11865,0
7490,1
10845,0
3300,0
16812,1
15975,1
5357,0
13709,0
18757,0
16616,0
17242,0
1647,0
445,0
20988,0
12093,0
48,0
14850,0
13952,0
8582,1
14033,0
11664,0
3076,1
9426,0
7705,0
7317,0
2904,0
20145,0
1809,0
18523,1
17353,0
1683,0
9868,0
19288,0
13034,0
7734,1
3079,0
842,0
3761,0
16327,0
2919,0
14775,0
3874,0
17346,0
13565,0
2895,1
228,1
5145,0
8158,0
20842,1
11961,0
12230,0
3313,0
187,1
3156,1
11088,0
5441,0
2303,1
7226,0
8454,1
10088,1
12266,0
13096,0
11006,0
4517,1
9900,0
1396,1
10144,0
952,0
17027,1
10458,0
20399,0
8431,0
19223,1
20329,0
9096,0
14452,1
5129,0
9358,0
20843,0
14214,1
11543,1
3321,0
20816,0
12471,0
5932,0
9851,1
1382,0
386,0
1828,0
9709,0
15932,0
20274,0
7423,0
13640,1
15072,0
13203,0
5977,0
7888,0
18635,0
6854,1
4356,0
6778,0
15400,0
5909,0
16993,0
14226,1
6392,1
3954,0
12343,0
14199,0
5747,0
2628,0
17960,0
12834,1
4564,0
8545,1
4838,1
9259,0
13123,0
15406,0
3674,0
18047,1
2647,1
7644,0
7121,0
20248,1
6806,1
4410,0
20489,0
11277,1
17265,1
17273,0
19649,1
13753,1
17237,0
16846,0
2056,1
2683,0
14556,0
12235,1
9295,1
13181,0
16877,1
11356,0
2606,0
3190,0
5367,0
11124,0
18789,0
12988,0
13373,0
12565,0
12639,0
1024,0
9554,0
8472,1
504,0
20268,0
11,0
1892,0
18519,0
18141,0
19584,1
8210,0
6773,1
16293,0
18774,0
3713,0
12385,0
7983,0
13695,0
686,1
2959,0
11115,1
6710,0
17953,0
984,0
17144,0
12766,0
13289,0
2679,0
3587,0
10451,0
9157,0
12862,0
2982,0
10154,0
9131,1
5730,0
4013,1
11101,0
3249,0
7435,1
14603,0
18892,1
18933,0
44,0
1674,0
2069,0
4440,0
16447,0
4613,0
20721,1
19142,0
10151,1
119,0
11141,0
12662,0
13248,0
19909,0
4752,1
2791,0
14792,0
2242,0
18375,1
17648,0
6619,0
18335,1
20452,1
2980,0
16555,0
16445,0
15325,0
5901,0
3007,0
17180,1
6740,0
9327,0
13230,1
2583,0
12993,0
3499,1
2164,0
9791,1
6538,0
6014,1
1613,1
4377,1
10666,0
17368,0
11099,0
13664,0
16471,0
8488,0
7118,1
17670,0
14179,1
1500,0
12500,0
20878,0
3520,0
5867,0
10137,0
19560,0
18479,0
6982,0
2434,1
4658,0
14071,1
13086,1
5078,1
20430,0
16243,1
3579,0
12340,0
13524,0
3622,0
15730,0
1819,0
9021,0
12519,1
19678,0
5070,0
16035,0
2254,0
5332,0
18485,0
10839,0
878,0
17506,0
6317,0
10564,0
17068,0
4476,0
2607,1
7707,0
17525,1
14574,0
19647,0
18637,0
18981,0
14708,0
4378,1
10818,1
9759,1
3937,0
20120,1
17528,0
7470,0
12433,0
8227,1
16794,0
17787,0
2540,0
86,1
6595,0
9125,0
20243,0
12284,0
4146,0
4439,0
20526,0
6792,0
470,1
19181,0
20610,0
12174,1
19048,0
11712,0
15099,0
14080,0
15454,1
8439,1
1482,0
17143,0
88,0
11237,0
3174,0
11899,0
7611,0
13111,0
18432,0
14812,1
17420,0
8251,0
11786,0
1631,0
3050,0
1690,0
13864,1
12404,0
3438,0
16143,0
17031,1
364,0
13615,0
20575,0
20813,0
7903,0
13705,0
15876,0
11331,0
4698,0
12482,0
10867,0
167,0
2693,0
4756,0
18403,0
14832,1
3845,0
13029,1
20100,1
19171,0
20354,0
4330,0
10111,1
18865,0
15427,1
18194,0
6986,0
11336,0
8968,0
15546,0
18741,0
4726,1
18419,1
4778,0
5542,0
17442,0
6038,0
2229,0
15570,0
5322,0
9223,0
7823,0
15609,0
2330,0
3515,0
1104,1
10917,0
15327,0
11350,0
10545,0
15921,0
16719,0
4206,0
10268,0
8869,1
1813,0
1985,1
9322,0
5170,0
13386,0
6883,0
10387,1
18630,0
8386,0
18149,0
5955,0
7619,0
16479,1
427,1
3381,0
7455,1
15383,1
8103,0
11129,0
5617,0
18984,0
1009,0
13092,1
18856,1
12387,0
12259,0
16568,0
772,0
3653,0
843,1
13870,0
20828,1
6499,0
19905,0
10919,0
18509,0
986,0
2291,0
10215,0
12595,0
9477,1
5077,1
19533,0
7921,1
6603,0
688,0
17080,0
18709,1
1092,0
16961,1
4024,0
5472,1
19820,1
17072,0
6057,0
19511,0
13014,0
2711,0
16496,0
15781,0
7708,0
1664,0
1974,1
16633,1
5713,0
2167,1
16225,1
2906,0
14471,1
14736,0
5153,0
6650,0
17499,0
6519,0
11206,1
4709,0
15394,0
5249,0
5022,0
13518,0
11751,1
6956,0
834,0
9621,0
8218,0
17657,0
7351,0
15858,0
13167,0
388,0
5545,0
12291,0
12643,0
16048,0
6479,0
11345,1
5794,0
18244,0
6926,1
3782,1
3988,0
1890,0
13409,0
805,0
6054,1
4754,0
11637,0
4484,0
17413,1
8147,1
7887,0
4154,0
16464,0
12800,1
18383,1
2754,0
19422,0
17186,0
17710,0
13149,0
3872,0
9615,0
5456,0
10584,0
4543,0
18953,0
6074,0
15166,0
12492,0
13084,0
19061,0
17415,1
17854,0
541,0
17203,1
11462,1
17948,0
17579,0
18785,0
6098,1
19514,0
10468,0
11470,0
12858,0
9758,0
14478,0
4213,0
16258,0
19237,0
4097,0
8990,0
8322,0
19785,0
12581,0
2492,0
6845,1
5088,0
11100,0
8800,1
4173,0
16523,0
19921,0
9336,1
15674,0
20060,1
17013,0
13341,0
7553,0
18540,0
4832,0
4499,0
9699,1
7073,1
17511,0
6363,1
20852,1
17996,0
590,0
9243,0
5033,0
16119,0
6113,0
2381,0
4940,0
15063,0
16781,0
16651,1
10248,0
10690,0
5268,0
16862,1
11827,1
15126,1
12025,0
16142,0
11109,0
13673,1
3914,0
7932,1
14295,0
10744,1
15665,0
20887,0
15756,0
2897,0
10823,0
3047,0
15256,0
12132,0
2821,1
5491,0
5724,1
20311,0
10156,1
8264,0
10205,0
13888,0
17739,0
4550,1
15318,0
3022,0
15440,0
11895,0
7956,0
19182,0
4340,0
20617,0
12819,0
8884,0
9391,1
18883,0
15946,0
6722,0
10844,0
11408,0
10701,1
6234,0
1368,0
6838,1
6716,0
19628,0
1140,0
12572,0
14919,0
9924,0
20777,0
2131,0
13317,0
4980,0
14836,1
1064,1
15734,0
1732,0
17669,0
20365,0
18067,0
9798,1
9562,1
5646,0
3285,0
2106,0
14357,0
11213,0
7279,0
5325,0
1285,0
2034,0
14785,1
6790,0
14052,0
11709,0
6938,0
8751,0
5637,0
5931,0
1229,0
20562,0
5523,0
14578,0
17189,1
11262,0
9059,0
17983,0
2477,0
20118,0
10886,0
6454,0
13540,0
14584,0
14102,0
7733,0
332,0
16799,1
5882,0
340,0
16673,0
7421,0
1751,1
3980,1
16735,0
5004,0
2163,0
8499,0
7739,0
5761,0
1938,0
10431,1
16660,0
11368,1
19531,0
3003,1
1641,0
18838,0
13143,0
16316,0
7783,0
17725,0
12552,1
2703,0
2707,0
17280,0
14073,0
11484,1
12449,0
7335,0
8864,1
12822,0
12936,0
15506,0
16263,0
13502,0
3233,0
5829,0
10277,0
18015,0
5930,1
7977,1
17821,1
18860,0
14617,0
8154,0
20080,0
887,0
19841,0
4469,0
17921,1
19837,0
18957,1
6029,1
10278,1
18276,0
585,0
972,1
6795,0
7413,0
9206,0
10480,1
3607,0
2761,0
8489,0
10937,0
19515,0
20829,0
3483,1
3002,1
15678,0
10103,0
5447,0
2309,0
4038,0
19564,1
14777,0
14439,1
19163,0
7755,0
1275,1
970,1
14823,0
4407,0
7991,0
10434,0
19814,1
14016,0
1126,0
15742,0
5231,0
10443,0
18528,0
13407,0
15791,0
6507,0
12066,1
18429,1
6846,0
12208,0
7328,0
1028,0
626,0
248,0
11429,1
11533,0
5579,1
20626,0
16209,1
8928,0
13940,0
16135,1
14115,1
3497,0
11157,0
11627,0
10502,1
3369,0
9200,0
12673,1
14642,0
12507,0
5185,0
13955,0
1672,0
5019,0
18470,0
5904,0
2190,0
