,id,safra,limit_bal,sex,education,marriage,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,sum_bill,avg_bill,max_bill,sum_bill,avg_bill,max_bill
18999,19000,200604,70000,2,1,2,29,0,0,2,2,2,2,71237,76632,74853,78789,77084,80572,6577,0,5816,0,5364,0,459167.0,76527.83,80572.0,17757.0,2959.5,6577.0
20417,20418,200604,10000,1,3,2,24,1,-1,0,-1,0,0,-372,4253,1777,780,780,0,5253,1500,780,0,0,0,7218.0,1203.0,4253.0,7533.0,1255.5,5253.0
12612,12613,200602,50000,1,2,2,47,0,0,0,0,0,0,37486,35996,36679,16707,17057,17423,1800,2021,650,619,650,1000,161348.0,26891.33,37486.0,6740.0,1123.33,2021.0
3651,3652,200511,110000,1,2,1,44,0,0,0,0,0,0,111188,109512,108727,107381,106831,108305,6010,5507,4500,4502,4200,4500,651944.0,108657.33,111188.0,29219.0,4869.83,6010.0
19663,19664,200604,370000,2,2,1,36,0,0,0,0,0,0,219386,181046,169132,128553,88817,83763,10500,14045,8553,8817,10763,2526,870697.0,145116.17,219386.0,55204.0,9200.67,14045.0
9577,9578,200601,40000,2,1,1,27,0,0,0,0,0,0,40856,39045,39825,38847,31535,32159,2023,1803,1425,1293,1300,1339,222267.0,37044.5,40856.0,9183.0,1530.5,2023.0
2652,2653,200510,170000,2,1,2,26,0,0,0,0,2,0,99387,102141,103972,108405,102303,99767,5250,5100,7500,0,3900,3600,615975.0,102662.5,108405.0,25350.0,4225.0,7500.0
19240,19241,200604,380000,2,3,1,44,0,0,0,0,-1,-1,7234,4772,4519,3818,4096,4058,1500,2000,2023,4102,4448,7274,28497.0,4749.5,7234.0,21347.0,3557.83,7274.0
1976,1977,200510,180000,1,2,2,31,0,0,0,2,0,0,28566,32876,39120,38339,42679,46953,5000,7000,0,5000,5000,5000,228533.0,38088.83,46953.0,27000.0,4500.0,7000.0
19876,19877,200604,50000,2,2,2,42,0,0,-1,0,0,0,37606,17971,10812,12237,13057,15057,3000,15000,2000,2000,2000,0,106740.0,17790.0,37606.0,24000.0,4000.0,15000.0
12156,12157,200602,30000,1,3,2,51,0,0,0,0,2,2,25358,26447,26946,28957,29408,29840,1800,1300,2400,1000,1000,0,166956.0,27826.0,29840.0,7500.0,1250.0,2400.0
1572,1573,200510,110000,2,2,1,40,0,0,0,2,0,0,84589,85418,38333,37419,38199,38957,3700,4890,0,1535,1545,1500,322915.0,53819.17,85418.0,13170.0,2195.0,4890.0
14941,14942,200602,100000,2,2,1,39,2,2,0,0,0,0,78353,77726,79151,80249,82405,77011,1200,3400,2900,3500,3000,6100,474895.0,79149.17,82405.0,20100.0,3350.0,6100.0
12616,12617,200602,20000,1,1,2,23,0,0,0,0,0,-1,18055,2059,2576,1834,1092,942,1100,1500,200,200,942,19840,26558.0,4426.33,18055.0,23782.0,3963.67,19840.0
12566,12567,200602,130000,1,2,2,25,0,0,0,0,0,0,4841,6750,7559,5198,5198,5198,2000,1000,2200,0,0,0,34744.0,5790.67,7559.0,5200.0,866.67,2200.0
15849,15850,200603,110000,2,1,1,28,0,0,0,0,0,2,109474,110723,111125,106828,84729,82910,11602,4238,4316,11190,0,3000,605789.0,100964.83,111125.0,34346.0,5724.33,11602.0
18279,18280,200604,190000,1,1,1,54,0,0,0,0,0,0,187295,186189,186002,170873,98013,94600,7000,7962,7000,3417,3463,3357,922972.0,153828.67,187295.0,32199.0,5366.5,7962.0
18395,18396,200604,60000,2,2,2,24,0,0,-1,2,0,0,8086,6936,4102,3891,4669,6083,3015,4102,0,1000,1500,1000,33767.0,5627.83,8086.0,10617.0,1769.5,4102.0
10372,10373,200601,200000,2,1,2,33,-1,-1,-1,-2,-2,-2,846,4292,0,0,0,0,4974,0,0,0,0,0,5138.0,856.33,4292.0,4974.0,829.0,4974.0
448,449,200510,200000,1,4,1,42,0,0,0,0,0,0,38564,38246,32253,30384,30900,0,5000,1485,1956,1500,0,2102,170347.0,28391.17,38564.0,12043.0,2007.17,5000.0
12344,12345,200602,30000,2,2,1,53,1,3,2,3,2,0,18663,18080,18986,18390,17954,18654,0,1500,0,0,1000,692,110727.0,18454.5,18986.0,3192.0,532.0,1500.0
15441,15442,200603,20000,1,2,2,27,0,0,-1,-1,0,0,7320,7761,631,4481,6481,3465,2000,631,4481,2000,300,3332,30139.0,5023.17,7761.0,12744.0,2124.0,4481.0
16815,16816,200603,40000,1,2,2,33,0,0,-2,-2,-2,-2,23330,0,0,0,0,0,0,0,0,0,0,0,23330.0,3888.33,23330.0,0.0,0.0,0.0
15759,15760,200603,130000,2,2,2,22,2,2,2,2,0,0,29929,27812,21213,15443,25371,4264,3412,1700,0,15571,4264,1000,124032.0,20672.0,29929.0,25947.0,4324.5,15571.0
15162,15163,200603,300000,2,2,2,26,0,0,0,-1,0,0,29300,18988,6893,49379,49161,50646,1214,2000,49379,1500,2000,15000,204367.0,34061.17,50646.0,71093.0,11848.83,49379.0
7093,7094,200512,320000,2,1,2,32,2,0,0,0,0,0,313383,313136,317847,313990,312070,319672,12937,13036,10072,9600,11056,9964,1890098.0,315016.33,319672.0,66665.0,11110.83,13036.0
14618,14619,200602,230000,2,1,1,34,-1,0,0,0,-1,0,4358,6020,9938,9865,6981,12157,3000,5000,5828,6981,6157,6342,49319.0,8219.83,12157.0,33308.0,5551.33,6981.0
13550,13551,200602,20000,2,1,2,22,-2,-2,-2,-2,-2,-2,483,480,390,390,390,390,487,390,390,390,390,390,2523.0,420.5,483.0,2437.0,406.17,487.0
3123,3124,200511,210000,1,1,2,30,-1,-1,-1,0,-1,-1,462,562,1864,932,932,1014,1032,2234,0,932,1014,1000,5766.0,961.0,1864.0,6212.0,1035.33,2234.0
8051,8052,200512,30000,1,2,1,36,1,4,3,2,2,2,28083,27371,26645,25919,27535,28197,0,0,0,2038,1268,0,163750.0,27291.67,28197.0,3306.0,551.0,2038.0
10850,10851,200601,210000,1,2,1,33,0,0,0,0,0,0,141571,138588,142343,69004,70596,69388,5000,6000,2270,2500,2472,2600,631490.0,105248.33,142343.0,20842.0,3473.67,6000.0
12292,12293,200602,130000,2,2,2,26,0,0,0,0,0,-2,110922,113974,126194,17832,-3000,0,5000,15066,5007,0,3000,825,365922.0,60987.0,126194.0,28898.0,4816.33,15066.0
16382,16383,200603,120000,2,1,1,36,-1,2,2,-2,-1,0,536,210,-116,-442,732,406,0,0,0,1500,0,0,1326.0,221.0,732.0,1500.0,250.0,1500.0
8273,8274,200512,80000,1,1,2,28,0,0,0,2,0,0,47933,39695,42372,41393,42275,43418,2100,3650,0,1700,2000,3000,257086.0,42847.67,47933.0,12450.0,2075.0,3650.0
13659,13660,200602,220000,2,2,2,26,0,0,0,0,0,-1,57222,160712,210445,74138,1808,95818,107789,54539,1483,1808,94020,2581,600143.0,100023.83,210445.0,262220.0,43703.33,107789.0
11740,11741,200601,20000,1,2,2,36,0,0,-2,-2,-2,-2,18400,0,0,0,0,0,0,0,0,0,0,0,18400.0,3066.67,18400.0,0.0,0.0,0.0
7530,7531,200512,270000,1,1,2,28,4,4,3,2,2,2,237881,232799,227597,230751,235931,240595,0,0,8400,9000,8700,9000,1405554.0,234259.0,240595.0,35100.0,5850.0,9000.0
2304,2305,200510,80000,1,2,1,26,0,0,0,0,0,0,51751,43280,44234,45276,39808,40598,2000,2000,1668,2000,1453,1664,264947.0,44157.83,51751.0,10785.0,1797.5,2000.0
19121,19122,200604,100000,2,2,1,49,0,-1,-1,-1,0,0,5532,5325,5423,29628,13252,3723,5325,5423,29628,0,0,3513,62883.0,10480.5,29628.0,43889.0,7314.83,29628.0
8046,8047,200512,30000,1,2,2,39,2,3,2,2,2,3,27000,26286,26556,26818,29425,28662,0,1000,1000,3200,0,0,164747.0,27457.83,29425.0,5200.0,866.67,3200.0
12802,12803,200602,260000,2,2,1,53,1,2,2,2,2,2,118107,121763,133107,133107,148107,148107,3656,15000,0,15000,0,15000,802298.0,133716.33,148107.0,48656.0,8109.33,15000.0
8944,8945,200512,100000,2,2,1,42,2,2,0,0,0,0,101494,98994,96845,97037,93480,95516,13,3709,4000,3500,3600,3500,583366.0,97227.67,101494.0,18322.0,3053.67,4000.0
6810,6811,200512,10000,1,1,2,30,0,0,0,0,0,0,7930,7718,8518,8950,9795,3274,1200,1000,1000,1000,59,0,46185.0,7697.5,9795.0,4259.0,709.83,1200.0
6551,6552,200512,260000,2,2,2,27,0,0,0,0,0,-1,19713,22378,24836,32816,42816,8938,3000,3000,10000,10000,8938,2000,151497.0,25249.5,42816.0,36938.0,6156.33,10000.0
18734,18735,200604,50000,2,2,2,25,0,0,0,2,2,2,26509,27521,30001,29187,31064,30487,1757,3237,0,2300,0,1100,174769.0,29128.17,31064.0,8394.0,1399.0,3237.0
9591,9592,200601,50000,2,3,1,36,0,0,0,0,0,0,46311,47579,47897,28263,8548,8906,2014,1332,698,310,500,330,187504.0,31250.67,47897.0,5184.0,864.0,2014.0
3807,3808,200511,100000,2,3,2,46,0,0,0,0,0,0,94657,81175,63464,45910,46996,42935,3000,2009,3000,2000,2000,1701,375137.0,62522.83,94657.0,13710.0,2285.0,3000.0
14158,14159,200602,210000,2,1,1,50,-1,-1,-1,-1,-1,-1,90,90,90,90,180,90,90,90,90,180,0,90,630.0,105.0,180.0,540.0,90.0,180.0
6030,6031,200512,150000,2,1,1,46,0,0,0,0,0,0,21787,22817,24134,24635,29032,29766,1382,1699,1200,5000,1214,1500,152171.0,25361.83,29766.0,11995.0,1999.17,5000.0
17147,17148,200603,60000,2,2,2,27,0,0,2,0,0,0,45373,49363,48308,51616,56416,21680,4747,0,5000,5000,0,23999,272756.0,45459.33,56416.0,38746.0,6457.67,23999.0
4759,4760,200511,180000,2,1,1,45,0,0,0,2,0,0,18472,20546,24956,24262,24782,26208,2690,5100,0,1058,2000,3000,139226.0,23204.33,26208.0,13848.0,2308.0,5100.0
11645,11646,200601,180000,2,3,2,39,1,-1,0,-1,0,0,0,4835,2220,11303,9359,9041,4835,2200,11303,187,181,3050,36758.0,6126.33,11303.0,21756.0,3626.0,11303.0
1189,1190,200510,180000,2,1,2,24,0,0,0,0,0,0,169263,174532,176686,165491,169222,173246,8000,6700,6000,6400,7000,7000,1028440.0,171406.67,176686.0,41100.0,6850.0,8000.0
20384,20385,200604,90000,1,3,2,23,3,2,0,0,0,0,92154,87700,61110,14223,9784,5155,0,2200,1000,477,103,0,270126.0,45021.0,92154.0,3780.0,630.0,2200.0
18571,18572,200604,180000,2,1,2,27,-1,-1,-1,-1,-1,-1,264,264,264,264,264,264,264,264,264,264,264,264,1584.0,264.0,264.0,1584.0,264.0,264.0
2783,2784,200510,280000,2,1,1,47,-1,2,2,-1,0,0,2002,1311,0,430,430,-550,0,0,430,0,550,1304,3623.0,603.83,2002.0,2284.0,380.67,1304.0
7008,7009,200512,20000,2,3,1,41,0,0,0,0,0,2,16208,16942,18255,18468,19715,19250,1300,1600,813,1700,0,831,108838.0,18139.67,19715.0,6244.0,1040.67,1700.0
16366,16367,200603,140000,2,1,1,45,-1,-1,-1,-1,0,0,2300,483,487,1011,524,1037,483,487,1011,0,1000,974,5842.0,973.67,2300.0,3955.0,659.17,1011.0
20687,20688,200604,180000,1,1,2,28,2,2,2,2,2,2,175154,175790,153515,130864,131569,128983,5100,50,14500,4500,296,4500,895875.0,149312.5,175790.0,28946.0,4824.33,14500.0
12397,12398,200602,360000,2,1,1,46,1,-1,-1,-1,-1,-1,723,17392,-8,32170,680,6205,17392,0,32178,680,6205,18814,57162.0,9527.0,32170.0,75269.0,12544.83,32178.0
11435,11436,200601,20000,2,2,2,23,1,2,2,2,2,2,6218,6959,8635,8350,9063,8771,1000,1800,0,1000,0,1000,47996.0,7999.33,9063.0,4800.0,800.0,1800.0
790,791,200510,30000,2,2,2,51,1,2,2,0,0,0,25382,26480,25761,25964,26507,27249,1800,0,928,960,1181,967,157343.0,26223.83,27249.0,5836.0,972.67,1800.0
20767,20768,200604,400000,1,2,1,42,0,-1,-1,0,0,-1,2984,3353,8372,7743,4984,3027,3369,8379,1074,124,3042,2891,30463.0,5077.17,8372.0,18879.0,3146.5,8379.0
12745,12746,200602,50000,1,3,1,52,2,2,2,4,3,3,37530,38630,41774,40806,41357,41380,2000,4086,0,1500,1000,1800,241477.0,40246.17,41774.0,10386.0,1731.0,4086.0
12554,12555,200602,50000,2,2,1,23,0,0,0,0,0,0,49103,44351,38726,28598,29277,27310,1800,2128,1000,1100,1000,999,217365.0,36227.5,49103.0,8027.0,1337.83,2128.0
6194,6195,200512,360000,1,2,2,28,0,0,-1,0,0,0,19390,22726,12148,12885,12994,15320,7113,12163,3787,714,5369,10026,95463.0,15910.5,22726.0,39172.0,6528.67,12163.0
9980,9981,200601,230000,1,1,2,30,0,0,0,0,0,0,101874,97302,97383,97487,96588,95221,8000,5016,5000,5000,5000,5200,585855.0,97642.5,101874.0,33216.0,5536.0,8000.0
16227,16228,200603,30000,2,3,1,43,1,2,0,0,0,0,32577,29268,26897,23352,18738,15236,0,1468,1564,591,489,388,146068.0,24344.67,32577.0,4500.0,750.0,1564.0
16248,16249,200603,170000,2,2,1,45,0,0,0,0,2,2,133341,133715,130591,138404,138733,137642,6804,6883,11600,5020,1200,4000,812426.0,135404.33,138733.0,35507.0,5917.83,11600.0
16146,16147,200603,110000,2,3,2,32,-1,-1,-1,-1,-1,0,9943,9267,4957,6037,7628,2746,9284,6960,6055,7651,8,5159,40578.0,6763.0,9943.0,35117.0,5852.83,9284.0
17378,17379,200603,180000,2,2,1,36,0,0,0,0,-2,-1,20138,21494,25600,0,0,36565,2000,5000,0,0,36565,1548,103797.0,17299.5,36565.0,45113.0,7518.83,36565.0
9307,9308,200601,30000,2,2,2,28,0,0,0,0,0,3,15280,16230,17153,17351,19509,18900,1500,1500,780,2600,0,900,104423.0,17403.83,19509.0,7280.0,1213.33,2600.0
13183,13184,200602,360000,1,2,1,36,-1,-1,-1,-1,-1,-1,6783,2337,10990,74562,-28,5677,2347,11046,74934,0,5705,8503,100321.0,16720.17,74562.0,102535.0,17089.17,74934.0
14161,14162,200602,50000,1,2,2,25,-1,3,2,0,0,0,10695,10386,9993,9993,15300,0,0,0,200,5307,0,0,56367.0,9394.5,15300.0,5507.0,917.83,5307.0
12774,12775,200602,20000,2,2,2,23,2,2,2,2,4,3,18495,20194,18880,22215,20638,19342,3000,0,4613,0,0,0,119764.0,19960.67,22215.0,7613.0,1268.83,4613.0
695,696,200510,150000,2,1,2,29,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
20608,20609,200604,360000,1,1,2,30,0,0,0,0,0,0,365290,362533,358716,353426,299403,260620,13000,14000,12080,10000,9500,6000,1999988.0,333331.33,365290.0,64580.0,10763.33,14000.0
5893,5894,200511,110000,2,3,1,38,0,0,0,0,0,0,100699,88694,74647,49021,34594,23116,3530,3066,2033,2021,1024,1003,370771.0,61795.17,100699.0,12677.0,2112.83,3530.0
1134,1135,200510,20000,1,2,2,28,1,2,2,2,0,0,15764,15718,17164,16594,18158,19554,500,2000,0,2000,1700,0,102952.0,17158.67,19554.0,6200.0,1033.33,2000.0
6872,6873,200512,240000,1,2,2,30,-2,-2,-1,-1,-1,-1,53812,2000,2396,4657,2452,2418,2010,2613,5076,2464,2428,4170,67735.0,11289.17,53812.0,18761.0,3126.83,5076.0
4581,4582,200511,210000,1,1,1,43,-1,-1,-1,-1,-2,-1,880,724,844,-36,-916,1030,724,1000,0,0,3000,670,2526.0,421.0,1030.0,5394.0,899.0,3000.0
12309,12310,200602,20000,2,3,1,23,0,0,0,0,0,0,17589,18387,19157,19308,19486,19785,1313,1308,684,707,848,790,113712.0,18952.0,19785.0,5650.0,941.67,1313.0
10072,10073,200601,360000,1,1,2,33,-1,-1,-1,-1,-1,-1,845,-4,831,899,1172,820,0,835,899,1172,820,670,4563.0,760.5,1172.0,4396.0,732.67,1172.0
16902,16903,200603,20000,1,3,2,46,0,0,0,0,0,0,9784,11195,12542,13619,14415,15281,1885,1838,1300,1000,1074,183,76836.0,12806.0,15281.0,7280.0,1213.33,1885.0
16578,16579,200603,30000,1,1,2,29,1,2,2,2,2,2,25264,24560,29128,29845,30257,30779,0,5000,1500,1200,1300,0,169833.0,28305.5,30779.0,9000.0,1500.0,5000.0
20480,20481,200604,50000,1,2,2,28,2,0,0,2,0,0,14091,14752,18460,17749,18936,5925,1200,3972,0,1448,492,10000,89913.0,14985.5,18936.0,17112.0,2852.0,10000.0
12280,12281,200602,100000,1,2,1,36,1,2,2,2,4,3,9670,9371,11705,12919,12139,11653,0,2500,1700,0,0,0,67457.0,11242.83,12919.0,4200.0,700.0,2500.0
17659,17660,200603,30000,2,2,1,44,1,4,4,3,2,2,28864,30108,29367,28605,27855,29649,2000,0,0,0,2400,1300,174448.0,29074.67,30108.0,5700.0,950.0,2400.0
5783,5784,200511,10000,1,3,2,24,-1,-1,-1,0,0,0,6217,5082,5400,5012,1740,390,5112,5400,2,4,0,5039,23841.0,3973.5,6217.0,15557.0,2592.83,5400.0
1335,1336,200510,60000,2,3,2,32,0,0,0,0,0,0,62552,26929,27967,28526,28275,29151,1500,1500,1003,1500,1500,1044,203400.0,33900.0,62552.0,8047.0,1341.17,1500.0
15991,15992,200603,100000,2,3,1,32,0,0,2,2,2,2,32200,37211,36338,37698,38074,40295,5884,0,2270,1300,3000,1700,221816.0,36969.33,40295.0,14154.0,2359.0,5884.0
13909,13910,200602,360000,1,1,2,30,-1,-1,-1,-1,-1,-1,30627,4297,2720,2040,2722,5057,4318,2740,2050,2736,5273,5105,47463.0,7910.5,30627.0,22222.0,3703.67,5273.0
1494,1495,200510,180000,2,1,2,25,0,-1,-1,0,-1,0,23800,1246,3430,8430,92925,88283,1246,3430,5000,92925,5000,5000,218114.0,36352.33,92925.0,112601.0,18766.83,92925.0
3245,3246,200511,30000,1,2,2,26,2,0,0,0,2,2,13660,14708,17725,20320,19480,19222,1269,3286,2881,1,632,1,105115.0,17519.17,20320.0,8070.0,1345.0,3286.0
