,id,y,safra,limit_bal,sex,education,marriage,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,sum_bill,avg_bill,max_bill,sum_bill,avg_bill,max_bill
21023,21024,1,200605,50000,1,3,1,43,0,0,0,0,0,0,27620,28923,29955,30666,31275,31940,1767,1799,1510,1119,1169,2000,180379.0,30063.17,31940.0,9364.0,1560.67,2000.0
21024,21025,0,200605,90000,1,2,1,34,0,0,0,0,0,0,106053,101023,97045,102372,100794,98277,3547,3580,13000,7000,6000,7000,605564.0,100927.33,106053.0,40127.0,6687.83,13000.0
21025,21026,0,200605,270000,1,1,2,36,-2,-2,-2,-2,-2,-2,11464,1879,6896,8583,880,4861,1879,6909,8587,880,4861,3212,34563.0,5760.5,11464.0,26328.0,4388.0,8587.0
21026,21027,0,200605,50000,1,2,1,41,0,0,0,0,-2,-2,49999,51043,51400,0,0,0,2263,2400,0,0,0,0,152442.0,25407.0,51400.0,4663.0,777.17,2400.0
21027,21028,1,200605,50000,1,2,1,39,2,3,2,0,0,0,17150,16582,17014,17721,18184,20008,0,1000,1592,1055,2421,0,106659.0,17776.5,20008.0,6068.0,1011.33,2421.0
21028,21029,0,200605,20000,1,2,1,39,0,0,0,0,0,0,16621,7309,17120,18130,18491,18893,1200,10000,1301,662,700,1000,96564.0,16094.0,18893.0,14863.0,2477.17,10000.0
21029,21030,1,200605,50000,1,3,1,35,0,0,0,0,0,0,50500,50181,49630,50153,30914,29200,2000,2200,1968,1106,1040,1069,260578.0,43429.67,50500.0,9383.0,1563.83,2200.0
21030,21031,0,200605,390000,1,2,1,39,-1,2,-1,-1,0,0,7831,3844,5797,7657,4086,5795,8,5806,7667,95,5804,4721,35010.0,5835.0,7831.0,24101.0,4016.83,7667.0
21031,21032,0,200605,50000,1,2,2,36,4,3,2,0,0,0,51689,50567,48454,49843,51355,29276,3,0,2183,2695,29276,4,281184.0,46864.0,51689.0,34161.0,5693.5,29276.0
21032,21033,0,200605,160000,1,3,2,38,1,-2,-2,-1,0,0,0,0,0,700,700,0,0,0,700,0,0,0,1400.0,233.33,700.0,700.0,116.67,700.0
21033,21034,1,200605,20000,1,2,1,36,3,2,2,2,2,2,17500,16926,19260,18653,20041,19582,0,2921,0,1702,0,1594,111962.0,18660.33,20041.0,6217.0,1036.17,2921.0
21034,21035,0,200605,230000,1,2,2,36,-2,-2,-2,-2,-2,-2,3245,1855,2577,8001,2970,-1,1864,2590,8039,2984,0,381,18647.0,3107.83,8001.0,15858.0,2643.0,8039.0
21035,21036,0,200605,50000,1,1,2,46,0,0,0,0,0,0,49386,49487,50401,49148,30036,29873,2000,2500,2040,2000,1037,2000,258331.0,43055.17,50401.0,11577.0,1929.5,2500.0
21036,21037,0,200605,50000,1,3,2,40,0,0,0,0,2,2,55397,55877,57335,59595,55949,51225,2000,2356,3494,2000,0,1725,335378.0,55896.33,59595.0,11575.0,1929.17,3494.0
21037,21038,0,200605,80000,1,3,1,37,0,0,0,0,0,0,51925,51544,49430,46864,46473,48191,3018,2113,3007,2000,3000,20000,294427.0,49071.17,51925.0,33138.0,5523.0,20000.0
21038,21039,0,200605,240000,1,2,1,42,-1,-1,-1,-1,0,0,795,1916,1530,2961,5962,7336,1921,1534,2961,3001,2024,1000,20500.0,3416.67,7336.0,12441.0,2073.5,3001.0
21039,21040,1,200605,90000,1,3,1,39,0,0,0,0,0,0,93757,91359,88616,56887,46700,47272,4000,2625,2511,1501,1391,1393,424591.0,70765.17,93757.0,13421.0,2236.83,4000.0
21040,21041,0,200605,260000,1,3,1,44,0,0,0,0,0,0,250416,257987,260104,253488,145630,148720,11000,7100,135546,4500,4590,4501,1316345.0,219390.83,260104.0,167237.0,27872.83,135546.0
21041,21042,0,200605,50000,1,2,2,47,0,0,0,0,0,0,48017,47913,49225,18858,19166,19834,2488,2800,1610,918,1214,468,203013.0,33835.5,49225.0,9498.0,1583.0,2800.0
21042,21043,0,200605,350000,1,1,1,41,0,0,0,0,0,0,24297,25299,26329,27343,27886,28470,1411,1441,1455,998,1033,1038,159624.0,26604.0,28470.0,7376.0,1229.33,1455.0
21043,21044,0,200605,20000,1,2,2,42,0,0,0,0,0,0,15717,16724,18051,18759,19132,19684,1276,1603,1311,684,860,874,108067.0,18011.17,19684.0,6608.0,1101.33,1603.0
21044,21045,0,200605,110000,1,3,1,41,0,0,0,0,0,0,53497,51110,48995,46772,33220,31858,2510,2509,2031,1507,2032,1521,265452.0,44242.0,53497.0,12110.0,2018.33,2510.0
21045,21046,0,200605,80000,1,3,1,34,-1,-1,0,0,-1,0,5173,10809,8673,11590,5973,5878,10826,3683,5034,5981,2895,3789,48096.0,8016.0,11590.0,32208.0,5368.0,10826.0
21046,21047,1,200605,230000,1,2,1,34,1,-2,-1,2,2,0,0,0,33,33,33,1133,0,33,0,0,1100,704,1232.0,205.33,1133.0,1837.0,306.17,1100.0
21047,21048,0,200605,370000,1,2,2,39,0,0,0,0,0,0,377259,310284,278781,256794,156583,17909,15198,14177,15118,15020,10000,308000,1397610.0,232935.0,377259.0,377513.0,62918.83,308000.0
21048,21049,1,200605,100000,1,2,1,38,-1,-1,-1,2,0,0,7798,864,3302,2430,805,3415,864,2438,821,1,3110,2206,18614.0,3102.33,7798.0,9440.0,1573.33,3110.0
21049,21050,1,200605,490000,1,2,2,35,2,2,0,0,0,0,427020,370428,337432,286247,256618,188154,0,13932,11771,10187,8013,7014,1865899.0,310983.17,427020.0,50917.0,8486.17,13932.0
21050,21051,0,200605,50000,1,2,2,42,2,2,2,2,-1,0,22591,21523,24538,22402,9528,8447,0,3701,554,10026,421,6106,109029.0,18171.5,24538.0,20808.0,3468.0,10026.0
21051,21052,0,200605,200000,1,3,2,41,-2,-2,-2,-2,-2,-2,20950,182,3150,0,0,0,182,3165,0,0,0,94,24282.0,4047.0,20950.0,3441.0,573.5,3165.0
21052,21053,1,200605,70000,1,2,1,37,2,2,2,2,2,2,60514,61923,62740,63090,64470,65828,3000,2400,2000,3000,2508,0,378565.0,63094.17,65828.0,12908.0,2151.33,3000.0
21053,21054,0,200605,210000,1,2,1,38,-1,-1,-1,-1,-1,-1,326,0,2684,0,10652,326,0,2684,0,10652,326,0,13988.0,2331.33,10652.0,13662.0,2277.0,10652.0
21054,21055,0,200605,50000,1,3,2,33,0,0,0,0,0,0,47834,47821,48442,42550,16324,17556,1866,2007,1915,589,1500,1000,220527.0,36754.5,48442.0,8877.0,1479.5,2007.0
21055,21056,0,200605,50000,1,3,2,34,0,0,0,0,0,0,49454,49157,49773,48398,32584,33322,1792,2208,1513,1149,1245,1271,262688.0,43781.33,49773.0,9178.0,1529.67,2208.0
21056,21057,1,200605,100000,1,1,2,34,0,0,2,2,2,2,18185,24932,24246,26839,26109,27686,7100,0,3000,0,2000,0,147997.0,24666.17,27686.0,12100.0,2016.67,7100.0
21057,21058,1,200605,160000,1,2,2,38,4,3,2,2,3,2,99340,96860,99911,103928,101540,99587,0,5500,6700,0,27,2800,601166.0,100194.33,103928.0,15027.0,2504.5,6700.0
21058,21059,0,200605,30000,1,2,1,32,-2,-2,-2,-2,-2,-2,5066,6367,2109,5930,4192,0,6367,2115,5933,4192,0,0,23664.0,3944.0,6367.0,18607.0,3101.17,6367.0
21059,21060,1,200605,220000,1,1,2,34,0,0,2,2,0,0,170352,182711,183825,142216,118269,14960,15206,6000,0,5193,546,1485,812333.0,135388.83,183825.0,28430.0,4738.33,15206.0
21060,21061,0,200605,150000,1,3,2,29,-1,-1,2,-1,-1,-1,820,3191,1965,1300,936,901,3431,0,1300,936,901,911,9113.0,1518.83,3191.0,7479.0,1246.5,3431.0
21061,21062,0,200605,300000,1,2,2,31,0,0,0,0,0,0,281829,285038,291480,298378,131103,128742,10208,12507,15056,5027,5007,5063,1416570.0,236095.0,298378.0,52868.0,8811.33,15056.0
21062,21063,0,200605,390000,1,2,1,36,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
21063,21064,0,200605,180000,1,1,1,36,-1,0,0,0,0,0,170619,172057,177813,178907,139825,118621,6063,8431,6845,4465,4287,4060,957842.0,159640.33,178907.0,34151.0,5691.83,8431.0
21064,21065,0,200605,300000,1,1,2,40,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
21065,21066,0,200605,150000,1,1,1,37,0,0,0,0,0,2,112695,97907,100826,103297,111784,108887,3515,5002,5189,14002,8,4009,635396.0,105899.33,112695.0,31725.0,5287.5,14002.0
21066,21067,1,200605,80000,1,2,1,36,0,0,0,0,0,0,77870,79472,81757,77200,77669,79667,2900,3900,2750,2800,3200,2964,473635.0,78939.17,81757.0,18514.0,3085.67,3900.0
21067,21068,0,200605,250000,1,2,2,31,1,-2,-2,-2,-2,-1,0,0,0,0,0,1026,0,0,0,0,1026,1026,1026.0,171.0,1026.0,2052.0,342.0,1026.0
21068,21069,0,200605,350000,1,1,1,37,-2,-2,-2,-2,-2,-2,916,1123,604,4523,617,1902,1133,607,4545,620,1911,4690,9685.0,1614.17,4523.0,13506.0,2251.0,4690.0
21069,21070,0,200605,380000,1,1,1,40,0,0,0,0,0,0,231759,233357,236292,237176,236379,239221,10000,9000,10021,10000,10000,10000,1414184.0,235697.33,239221.0,59021.0,9836.83,10021.0
21070,21071,0,200605,450000,1,1,2,34,-1,-1,-1,-1,-1,-1,583,-16,2312,192,1630,14099,0,2328,192,1638,14169,1122,18800.0,3133.33,14099.0,19449.0,3241.5,14169.0
21071,21072,0,200605,340000,1,1,2,35,0,-1,-1,-1,0,-1,62896,16480,27050,29103,58997,12518,16591,27283,29255,58276,12565,13507,207044.0,34507.33,62896.0,157477.0,26246.17,58276.0
21072,21073,0,200605,70000,1,2,1,44,0,0,0,0,0,0,14202,15149,15481,15266,13489,11837,1500,1585,1500,1000,600,1500,85424.0,14237.33,15481.0,7685.0,1280.83,1585.0
21073,21074,1,200605,320000,1,2,1,37,0,0,0,0,0,0,367670,374631,348144,311004,254598,227869,13200,13006,11500,9000,10000,8000,1883916.0,313986.0,374631.0,64706.0,10784.33,13200.0
21074,21075,0,200605,180000,1,1,1,48,-1,-1,-1,-1,-1,0,325,1260,325,1000,1100,1100,1260,325,1000,1100,0,0,5110.0,851.67,1260.0,3685.0,614.17,1260.0
21075,21076,0,200605,360000,1,1,1,43,0,-1,-1,-1,-2,-2,38324,3374,3620,0,0,0,3390,3638,0,0,0,0,45318.0,7553.0,38324.0,7028.0,1171.33,3638.0
21076,21077,1,200605,230000,1,1,1,46,1,2,2,2,2,2,189724,193112,197039,200300,203018,199689,8000,8500,8000,7500,0,6622,1182882.0,197147.0,203018.0,38622.0,6437.0,8500.0
21077,21078,0,200605,280000,1,1,2,36,1,2,0,0,0,0,314318,307569,286773,275447,245409,211351,0,13500,14500,10000,9000,12000,1640867.0,273477.83,314318.0,59000.0,9833.33,14500.0
21078,21079,0,200605,50000,1,2,2,34,0,0,2,0,0,0,46413,50056,49072,49724,19801,14301,4729,86,2198,1198,600,1000,229367.0,38227.83,50056.0,9811.0,1635.17,4729.0
21079,21080,1,200605,260000,1,2,1,34,0,0,0,0,0,0,186189,176135,130369,68014,68529,69741,6203,5704,2411,2412,3100,3600,698977.0,116496.17,186189.0,23430.0,3905.0,6203.0
21080,21081,0,200605,230000,1,2,2,41,-1,0,0,0,0,0,23216,25548,23769,17270,13903,1953,10014,1602,1017,332,9,3626,105659.0,17609.83,25548.0,16600.0,2766.67,10014.0
21081,21082,0,200605,240000,1,1,2,41,-2,-2,-2,-2,-2,-2,-317,63435,697,-3,635,1269,63752,700,0,638,1275,421,65716.0,10952.67,63435.0,66786.0,11131.0,63752.0
21082,21083,0,200605,140000,1,1,1,44,0,0,0,2,0,0,90547,92536,96535,98041,100504,103874,3500,5500,4000,5000,5000,5000,582037.0,97006.17,103874.0,28000.0,4666.67,5500.0
21083,21084,0,200605,360000,1,1,1,43,0,-1,-1,-1,0,0,30769,13532,840,68110,55905,42239,13952,864,124037,1679,1163,1126,211395.0,35232.5,68110.0,142821.0,23803.5,124037.0
21084,21085,0,200605,320000,1,1,1,44,-1,-1,-1,-1,-1,-1,1329,4526,11906,14202,6956,4839,4526,11911,14425,7063,4839,6271,43758.0,7293.0,14202.0,49035.0,8172.5,14425.0
21085,21086,0,200605,310000,1,1,1,36,-1,-1,-1,-1,-1,-1,8517,6734,6031,14884,5467,12510,6765,6076,14972,5512,12570,9215,54143.0,9023.83,14884.0,55110.0,9185.0,14972.0
21086,21087,0,200605,60000,1,2,2,42,0,0,0,-1,0,0,78291,70154,69940,60170,29261,30233,3000,1405,60941,1056,2100,1101,338049.0,56341.5,78291.0,69603.0,11600.5,60941.0
21087,21088,0,200605,380000,1,2,1,38,0,0,0,0,0,0,365427,363267,372261,375423,359527,361201,14008,17000,13070,15000,13000,14000,2197106.0,366184.33,375423.0,86078.0,14346.33,17000.0
21088,21089,0,200605,40000,1,5,2,37,0,0,0,0,-1,0,36712,37403,18688,-620,32760,12500,1596,1006,0,17000,2000,780,137443.0,22907.17,37403.0,22382.0,3730.33,17000.0
21089,21090,0,200605,150000,1,2,1,40,0,0,0,0,0,-2,74985,76745,19472,20650,0,0,3400,1600,1700,0,0,0,191852.0,31975.33,76745.0,6700.0,1116.67,3400.0
21090,21091,0,200605,360000,1,3,2,40,-1,-1,-1,0,0,0,2569,316,4919,5559,5353,5401,316,4919,1000,110,1025,2684,24117.0,4019.5,5559.0,10054.0,1675.67,4919.0
21091,21092,0,200605,200000,1,1,1,36,-1,-1,-1,0,0,0,4585,33282,16175,104872,22897,29339,33485,16254,100551,12077,20182,21104,211150.0,35191.67,104872.0,203653.0,33942.17,100551.0
21092,21093,0,200605,260000,1,5,1,42,0,0,0,0,0,0,204017,182048,63074,262317,201344,191829,8000,7100,200140,6500,6000,6500,1104629.0,184104.83,262317.0,234240.0,39040.0,200140.0
21093,21094,0,200605,430000,1,3,2,38,-2,-2,-2,-2,-2,-2,37693,3390,5930,33736,23558,8118,3507,5960,39507,11838,8158,8509,112425.0,18737.5,37693.0,77479.0,12913.17,39507.0
21094,21095,0,200605,200000,1,2,1,36,0,0,0,-2,-1,0,5440,7268,0,0,42362,43094,2000,0,0,87000,1566,1830,98164.0,16360.67,43094.0,92396.0,15399.33,87000.0
21095,21096,0,200605,380000,1,1,1,40,0,0,2,0,0,0,95972,123558,114785,161444,163071,160076,30027,0,50005,20042,20000,20000,818906.0,136484.33,163071.0,140074.0,23345.67,50005.0
21096,21097,0,200605,110000,1,2,2,37,0,0,0,0,0,0,112091,112380,86544,77131,60895,60936,4625,3112,2467,2182,2190,2182,509977.0,84996.17,112380.0,16758.0,2793.0,4625.0
21097,21098,0,200605,200000,1,1,1,42,2,2,2,2,2,2,168289,172001,175281,177895,180078,184048,8000,7500,7000,6600,7000,7100,1057592.0,176265.33,184048.0,43200.0,7200.0,8000.0
21098,21099,0,200605,270000,1,1,2,34,1,2,0,0,2,0,20979,17228,20924,22448,15490,17343,0,4000,2000,0,2000,2000,114412.0,19068.67,22448.0,10000.0,1666.67,4000.0
21099,21100,0,200605,120000,1,1,1,31,-1,-1,-1,-1,-1,-1,1216,416,416,416,416,416,416,416,416,416,416,566,3296.0,549.33,1216.0,2646.0,441.0,566.0
21100,21101,0,200605,420000,1,1,1,47,0,0,0,0,0,0,54799,53507,54678,55403,56260,57598,5000,5000,3000,3000,3000,3000,332245.0,55374.17,57598.0,22000.0,3666.67,5000.0
21101,21102,0,200605,20000,1,3,2,34,0,0,2,0,0,-2,6569,6939,4679,2960,0,0,2449,0,1000,0,0,0,21147.0,3524.5,6939.0,3449.0,574.83,2449.0
21102,21103,1,200605,200000,1,2,2,40,1,2,2,0,0,0,193773,196323,181932,132127,132245,138104,7350,261,6206,5006,9406,6,974504.0,162417.33,196323.0,28235.0,4705.83,9406.0
21103,21104,0,200605,80000,1,2,1,45,0,0,0,0,0,0,34905,35923,37339,38419,39316,35902,1600,2000,1703,1600,1400,10350,221804.0,36967.33,39316.0,18653.0,3108.83,10350.0
21104,21105,0,200605,270000,1,2,2,45,1,-2,-1,-1,-1,-1,0,0,7304,3076,0,16191,0,7304,3076,0,16191,277,26571.0,4428.5,16191.0,26848.0,4474.67,16191.0
21105,21106,1,200605,30000,1,2,1,45,3,2,2,2,0,0,12751,12256,15002,13914,11093,9508,0,2955,0,436,423,341,74524.0,12420.67,15002.0,4155.0,692.5,2955.0
21106,21107,0,200605,80000,1,3,1,45,0,0,0,0,0,0,55385,52801,50209,43323,40275,38690,2019,2031,2013,2016,2002,3000,280683.0,46780.5,55385.0,13081.0,2180.17,3000.0
21107,21108,1,200605,30000,1,2,1,39,2,0,0,0,0,2,18557,19643,20721,21867,24291,23766,1700,1700,1800,3100,0,565,128845.0,21474.17,24291.0,8865.0,1477.5,3100.0
21108,21109,1,200605,20000,1,1,1,36,0,0,0,0,0,0,18958,19427,19021,19449,19162,0,1500,2000,1200,413,0,0,96017.0,16002.83,19449.0,5113.0,852.17,2000.0
21109,21110,1,200605,20000,1,2,1,33,2,0,0,0,0,0,17999,19090,19472,18629,12683,0,1700,3243,1200,254,0,0,87873.0,14645.5,19472.0,6397.0,1066.17,3243.0
21110,21111,1,200605,320000,1,2,1,35,0,0,0,0,0,0,274599,280021,286011,292636,298492,200098,11500,12000,12873,13020,8800,5650,1631857.0,271976.17,298492.0,63843.0,10640.5,13020.0
21111,21112,0,200605,120000,1,3,1,36,-2,-2,-2,-2,-2,-2,326,326,326,326,326,652,326,326,326,326,652,0,2282.0,380.33,652.0,1956.0,326.0,652.0
21112,21113,0,200605,290000,1,2,1,38,1,2,0,0,0,0,296437,192441,194158,197590,187134,180887,25,10013,9526,6549,6373,6781,1248647.0,208107.83,296437.0,39267.0,6544.5,10013.0
21113,21114,0,200605,380000,1,2,1,39,-2,-2,-2,-2,-2,-2,3074,-18618,-9415,-9415,-9415,-9415,9203,0,0,0,0,8000,-53204.0,-8867.33,3074.0,17203.0,2867.17,9203.0
21114,21115,0,200605,480000,1,1,1,49,0,0,0,0,0,0,376186,389822,401982,410694,407436,407809,20000,18000,15000,15000,14000,13000,2393929.0,398988.17,410694.0,95000.0,15833.33,20000.0
21115,21116,0,200605,350000,1,2,2,47,0,0,0,0,0,0,190211,191582,163154,299409,250584,249412,8239,8902,213103,9036,10022,9027,1344352.0,224058.67,299409.0,258329.0,43054.83,213103.0
21116,21117,0,200605,220000,1,1,2,36,-1,2,-1,-1,-1,-1,792,396,396,396,396,546,0,396,396,396,546,396,2922.0,487.0,792.0,2130.0,355.0,546.0
21117,21118,1,200605,360000,1,1,1,44,-2,-2,-2,-2,-2,-2,188,1610,1088,7870,5988,342,1610,1088,7870,5988,342,7159,17086.0,2847.67,7870.0,24057.0,4009.5,7870.0
21118,21119,0,200605,420000,1,2,1,39,-1,0,-1,-1,0,0,22219,22423,4889,14373,12881,3690,7573,4913,14415,6930,709,104259,80475.0,13412.5,22423.0,138799.0,23133.17,104259.0
21119,21120,1,200605,160000,1,1,1,40,0,0,2,2,-1,2,4024,6484,3503,-473,3757,3286,3000,0,0,4700,0,3000,20581.0,3430.17,6484.0,10700.0,1783.33,4700.0
21120,21121,0,200605,30000,1,1,2,47,2,2,0,0,0,2,26413,25690,26719,27774,28809,30399,0,1445,1500,1500,2200,0,165804.0,27634.0,30399.0,6645.0,1107.5,2200.0
21121,21122,0,200605,170000,1,2,2,31,0,0,0,0,0,0,8024,9338,11673,12770,12971,13312,1610,2500,1600,711,700,700,68088.0,11348.0,13312.0,7821.0,1303.5,2500.0
21122,21123,0,200605,710000,1,2,1,38,0,0,0,0,0,0,67061,64374,62858,69207,73333,121892,10045,10008,10019,10202,70001,10030,458725.0,76454.17,121892.0,120305.0,20050.83,70001.0
21123,21124,0,200605,350000,1,2,2,34,-2,-2,-2,-2,-2,-2,2184,1445,2424,4582,5600,2927,1445,2424,4584,5610,2927,1298,19162.0,3193.67,5600.0,18288.0,3048.0,5610.0
21124,21125,0,200605,230000,1,2,1,36,0,0,0,0,0,0,4761,5786,7676,9877,10181,12472,1110,2000,2500,1000,2472,1000,50753.0,8458.83,12472.0,10082.0,1680.33,2500.0
21125,21126,0,200605,30000,1,2,3,40,2,0,0,0,0,2,2922,3869,4890,5975,6474,6225,1000,1090,1175,600,0,1000,30355.0,5059.17,6474.0,4865.0,810.83,1175.0
21126,21127,0,200605,360000,1,1,1,38,-1,-1,-1,-1,-1,-2,475,-25,4993,498,-2,-2,0,5018,505,0,0,553,5937.0,989.5,4993.0,6076.0,1012.67,5018.0
21127,21128,0,200605,500000,1,1,1,41,-1,-1,2,2,-1,2,390,780,390,0,3280,2500,780,0,0,3280,0,0,7340.0,1223.33,3280.0,4060.0,676.67,3280.0
21128,21129,0,200605,380000,1,1,1,34,0,0,0,0,0,0,124486,106065,97979,100599,81087,82793,3563,3385,4074,2592,2696,3569,593009.0,98834.83,124486.0,19879.0,3313.17,4074.0
21129,21130,0,200605,240000,1,2,1,37,1,2,0,0,0,0,211808,208892,213637,216754,219276,223920,2000,9600,8500,6500,6500,7520,1294287.0,215714.5,223920.0,40620.0,6770.0,9600.0
21130,21131,1,200605,100000,1,1,2,41,0,0,0,0,0,0,31452,32453,33490,34926,35771,36366,1527,1564,2000,1426,1320,1333,204458.0,34076.33,36366.0,9170.0,1528.33,2000.0
21131,21132,1,200605,200000,1,2,2,38,0,0,0,0,0,0,176579,180233,184262,178674,181318,179477,6589,7074,7870,7028,6768,5906,1080543.0,180090.5,184262.0,41235.0,6872.5,7870.0
21132,21133,0,200605,500000,1,1,2,35,-2,-2,-2,-2,-2,-2,5925,11175,21176,5086,9552,14389,11194,21193,5094,9563,14403,5233,67303.0,11217.17,21176.0,66680.0,11113.33,21193.0
21133,21134,1,200605,220000,1,3,1,48,-2,-2,-1,0,0,0,0,0,2128,4071,5640,7078,0,2128,2000,2000,2000,1500,18917.0,3152.83,7078.0,9628.0,1604.67,2128.0
21134,21135,0,200605,640000,1,1,2,33,-1,-1,-1,0,0,0,21189,4242,32110,62649,63218,53151,4258,32120,34000,5037,0,13855,236559.0,39426.5,63218.0,89270.0,14878.33,34000.0
21135,21136,1,200605,340000,1,3,2,34,0,0,0,0,0,0,334628,328749,285399,248984,251047,255303,16040,14000,11000,9200,10000,9500,1704110.0,284018.33,334628.0,69740.0,11623.33,16040.0
21136,21137,0,200605,400000,1,1,2,48,0,0,0,0,0,0,112789,115910,120657,122338,124145,113477,5000,6624,5200,3826,3363,3398,709316.0,118219.33,124145.0,27411.0,4568.5,6624.0
